,ktc.csv,elmo.csv,neoengine.csv,jajuk.csv,zorannt.csv,vapor.csv,zscreen.csv,bacula.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,omseek.csv,img-browse-sort.csv,illumination.csv,miranda.csv
bacula.csv,0.55,0.05,0.51,0.59,0.23,0.33,0.94,0.74,0.41,0.44,0.55,0.58,0.54,0.29,0.21,0.45,0.0,0.72
decidr.csv,0.38,0.1,0.49,0.51,0.17,0.21,0.61,0.67,0.25,0.34,0.81,0.54,0.49,0.27,0.12,0.24,0.19,0.66
elmo.csv,0.51,0.13,0.62,0.72,0.3,0.23,0.59,0.72,0.42,0.61,0.75,0.59,0.64,0.4,0.19,0.29,0.34,0.63
gpac.csv,0.4,0.07,0.41,0.51,0.26,0.23,0.64,0.68,0.24,0.35,0.54,0.72,0.49,0.26,0.1,0.3,0.25,0.64
illumination.csv,0.0,0.06,0.47,0.52,0.15,0.0,0.52,0.67,0.0,0.35,0.6,0.0,0.0,0.28,0.07,0.26,0.56,0.0
img-browse-sort.csv,0.5,0.07,0.39,0.62,0.21,0.3,0.78,0.71,0.34,0.45,0.62,0.63,0.5,0.24,0.14,0.5,0.19,0.66
jajuk.csv,0.47,0.1,0.44,0.8,0.2,0.31,0.67,0.73,0.38,0.5,0.57,0.54,0.56,0.26,0.14,0.34,0.26,0.69
ktc.csv,0.7,0.12,0.55,0.73,0.27,0.37,0.75,0.74,0.55,0.65,0.72,0.55,0.6,0.32,0.21,0.29,0.26,0.78
miranda.csv,0.54,0.0,0.52,0.75,0.67,0.17,0.82,0.67,0.29,0.48,0.73,0.83,0.51,0.0,0.12,0.0,0.2,0.78
neoengine.csv,0.56,0.07,0.56,0.65,0.25,0.27,0.77,0.7,0.36,0.43,0.64,0.57,0.59,0.36,0.16,0.33,0.19,0.69
nicepress.csv,0.52,0.1,0.39,0.53,0.22,0.4,0.7,0.66,0.43,0.61,0.72,0.52,0.48,0.27,0.2,0.27,0.3,0.68
omseek.csv,0.73,0.0,0.79,0.82,0.67,0.33,1.0,0.83,0.84,0.2,0.69,0.5,0.68,0.23,0.29,0.28,0.33,0.89
rosegarden.csv,0.54,0.07,0.37,0.52,0.19,0.25,0.77,0.77,0.55,0.51,0.52,0.64,0.63,0.29,0.13,0.32,0.18,0.73
smarttag.csv,0.53,0.17,0.58,0.68,0.14,0.36,0.67,0.0,0.41,0.43,0.54,0.69,1.0,0.35,0.14,0.4,0.24,0.83
sylpheed-claws.csv,0.42,0.07,0.39,0.49,0.15,0.26,0.61,0.71,0.29,0.34,0.58,0.62,0.69,0.26,0.11,0.24,0.21,0.66
vapor.csv,0.0,0.07,0.56,0.67,0.14,0.38,0.64,0.67,0.0,0.34,0.65,0.0,0.0,0.26,0.14,0.25,0.21,0.0
zorannt.csv,0.46,0.11,0.77,0.68,0.35,0.29,0.79,0.82,0.39,0.31,0.64,0.59,0.58,0.28,0.16,0.43,0.24,0.67
zscreen.csv,0.54,0.09,0.53,0.51,0.17,0.37,0.85,0.93,0.36,0.42,0.58,0.71,0.85,0.23,0.17,0.26,0.16,0.7
