,ldview.csv,fw4spl.csv,qlc.csv,oppna-program-hsatools.csv,gwanted.csv,lcfizvtop.csv,grisbi.csv,libmesh.csv,glas.csv,somap.csv,wxcode.csv,mediaportal.csv,codepurge.csv,ambulant.csv,xcf.csv,olex2.csv,arm-webradio.csv
ambulant.csv,0.0,12.0,5.0,2.0,19.0,8.0,4.0,0.0,7.0,0.0,2.0,21.0,22.0,0.0,3.0,7.0,3.0
arm-webradio.csv,0.0,36.0,5.0,1.0,6.0,13.0,0.0,1.0,1.0,0.0,1.0,19.0,8.0,0.0,4.0,5.0,0.0
codepurge.csv,0.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,91.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,8.0
fw4spl.csv,0.0,0.0,15.0,0.0,15.0,16.0,4.0,0.0,3.0,0.0,3.0,23.0,12.0,2.0,2.0,4.0,3.0
glas.csv,0.0,6.0,3.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,1.0,18.0,5.0,0.0,1.0,17.0,6.0
grisbi.csv,1.0,52.0,16.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0,57.0,32.0,23.0,8.0,8.0,1.0,1.0
gwanted.csv,57.0,369.0,132.0,0.0,0.0,58.0,79.0,71.0,91.0,0.0,82.0,1.0,168.0,106.0,1.0,0.0,131.0
lcfizvtop.csv,6.0,13.0,10.0,2.0,19.0,0.0,0.0,7.0,1.0,0.0,37.0,1.0,16.0,8.0,3.0,1.0,2.0
ldview.csv,0.0,14.0,10.0,2.0,14.0,5.0,0.0,1.0,2.0,0.0,0.0,21.0,11.0,2.0,9.0,4.0,2.0
libmesh.csv,0.0,45.0,1.0,2.0,33.0,0.0,3.0,0.0,5.0,0.0,12.0,6.0,7.0,2.0,2.0,1.0,2.0
mediaportal.csv,57.0,2.0,7.0,2.0,23.0,58.0,0.0,71.0,91.0,0.0,2.0,0.0,0.0,106.0,4.0,0.0,11.0
olex2.csv,0.0,22.0,4.0,0.0,3.0,7.0,0.0,0.0,3.0,0.0,5.0,5.0,5.0,0.0,2.0,0.0,5.0
oppna-program-hsatools.csv,1.0,68.0,24.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,40.0,56.0,21.0,0.0,3.0,2.0,2.0
qlc.csv,0.0,369.0,0.0,0.0,15.0,58.0,3.0,1.0,3.0,0.0,1.0,21.0,1.0,2.0,1.0,0.0,131.0
somap.csv,0.0,72.0,7.0,2.0,22.0,0.0,0.0,0.0,6.0,0.0,3.0,23.0,24.0,2.0,3.0,4.0,3.0
wxcode.csv,0.0,369.0,132.0,129.0,163.0,58.0,0.0,0.0,91.0,77.0,0.0,1.0,168.0,0.0,61.0,0.0,131.0
xcf.csv,2.0,27.0,4.0,1.0,3.0,0.0,0.0,0.0,8.0,0.0,2.0,2.0,20.0,0.0,0.0,3.0,3.0
