,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.69,0.42,0.04,0.11,0.11,0.55,0.58,0.82,0.3,0.26
haphazard.csv,0.46,0.2,0.31,0.08,0.13,0.25,0.1,0.33,0.37,0.3
jicarilla.csv,0.12,0.0,0.85,0.0,0.0,0.0,0.1,0.49,0.0,0.0
ondex.csv,0.67,0.37,0.0,0.16,0.14,0.09,0.0,0.09,0.44,0.4
optalgtoolkit.csv,0.42,0.27,0.17,0.04,0.12,0.5,0.6,0.63,0.35,0.16
ossim.csv,0.29,0.21,0.3,0.22,0.0,0.35,0.51,0.71,0.2,0.29
projectts.csv,0.66,0.35,0.09,0.12,0.11,0.48,0.62,0.04,0.33,0.23
sabbu.csv,0.75,0.36,0.34,0.13,0.15,0.21,0.52,0.29,0.27,0.35
vxl.csv,0.61,0.33,0.24,0.15,0.08,0.36,0.66,0.33,0.35,0.29
zact.csv,0.46,0.09,0.57,0.12,0.22,0.0,0.62,0.43,0.24,0.34
