,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.59,0.83,1.08,0.82,1.0,1.0,0.68,0.39,0.95,0.83
haphazard.csv,0.72,0.85,0.8,0.78,0.74,0.84,0.95,0.84,0.59,0.63
jicarilla.csv,0.93,1.0,0.23,1.0,1.0,1.0,0.95,0.76,1.0,1.0
ondex.csv,0.46,0.71,1.02,0.53,0.59,0.95,1.0,0.96,0.52,0.5
optalgtoolkit.csv,0.77,0.76,0.91,0.93,0.65,0.59,0.62,0.55,0.61,0.85
ossim.csv,0.85,0.83,0.82,0.42,1.0,0.74,0.78,0.92,0.82,0.68
projectts.csv,0.54,0.68,0.99,0.67,0.86,0.85,0.57,0.98,0.65,0.8
sabbu.csv,0.35,0.71,0.79,0.62,0.58,0.87,0.7,0.83,0.75,0.62
vxl.csv,0.58,0.69,0.88,0.57,0.81,0.8,0.57,0.8,0.65,0.66
zact.csv,0.84,0.95,0.55,0.69,0.4,1.0,0.69,0.78,0.79,0.7
