,sabbu.csv,vxl.csv,jicarilla.csv,ossim.csv,zact.csv,optalgtoolkit.csv,projectts.csv,abbot.csv,haphazard.csv,ondex.csv
abbot.csv,0.68,0.51,0.04,0.51,0.0,0.0,0.55,0.77,0.23,0.49
haphazard.csv,0.43,0.19,0.25,0.34,0.33,0.19,0.06,0.26,0.5,0.51
jicarilla.csv,0.09,0.0,0.88,0.0,0.0,0.0,0.06,0.42,0.0,0.0
ondex.csv,0.64,0.35,0.0,0.62,0.65,0.06,0.0,0.06,0.57,0.61
optalgtoolkit.csv,0.4,0.34,0.14,0.22,0.56,0.55,0.57,0.54,0.49,0.3
ossim.csv,0.25,0.22,0.28,0.7,0.0,0.36,0.47,0.35,0.34,0.59
projectts.csv,0.66,0.51,0.07,0.58,0.44,0.47,0.58,0.02,0.59,0.49
sabbu.csv,0.73,0.56,0.31,0.59,0.72,0.19,0.48,0.21,0.5,0.69
vxl.csv,0.61,0.44,0.21,0.57,0.43,0.43,0.63,0.24,0.61,0.58
zact.csv,0.44,0.06,0.52,0.42,0.71,0.0,0.58,0.35,0.27,0.35
