,encog-java.csv,h2database.csv,raven-monitoring.csv,jaql.csv,bochs.csv,haphazard.csv,v8.csv
bochs.csv,0.13,0.12,0.36,0.43,1.0,0.2,0.93
encog-java.csv,1.0,0.18,0.43,1.0,0.31,0.2,0.94
h2database.csv,0.17,1.0,0.29,0.56,0.62,0.11,0.93
haphazard.csv,0.12,0.16,0.47,0.31,0.33,1.0,0.98
jaql.csv,0.23,0.2,0.35,1.0,0.51,0.14,0.98
raven-monitoring.csv,0.11,0.11,1.0,0.4,0.3,0.2,0.95
v8.csv,0.16,0.19,0.54,0.64,0.42,0.16,0.99
