,elmo.csv,xbplayer.csv,decidr.csv,tolven.csv,mscore.csv
decidr.csv,0.4,0.76,0.98,0.78,0.31
elmo.csv,0.8,0.07,0.02,0.0,0.07
mscore.csv,0.4,0.67,0.42,0.76,0.98
tolven.csv,0.6,0.6,0.34,0.92,0.21
xbplayer.csv,0.0,0.95,0.15,0.41,0.29
