,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,m-a-d-n-e-s-s.csv,yarp.csv,ftm.csv
bloodycore.csv,0.19,0.1,0.36,0.25,0.17,0.09,0.07,0.0,0.08
flylegacy.csv,0.56,0.15,0.41,0.38,0.59,0.82,0.88,0.21,0.99
ftm.csv,0.05,0.0,0.0,0.14,0.0,0.04,0.22,0.13,0.38
jguard.csv,0.98,0.65,0.77,0.85,0.9,0.32,1.0,0.82,1.0
m-a-d-n-e-s-s.csv,0.07,0.0,0.23,0.11,0.05,0.07,0.23,0.13,0.72
mob-sen-plat.csv,0.74,0.25,0.82,0.59,0.71,0.79,0.68,0.42,0.68
raygina.csv,0.23,0.0,0.68,0.51,0.2,0.32,0.15,0.32,0.07
upp-mirror.csv,0.3,0.05,0.41,0.13,0.34,0.16,0.15,0.34,0.15
yarp.csv,0.07,0.0,0.14,0.05,0.05,0.45,0.08,0.32,0.01
