,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.38,0.47,0.39,0.88,0.59,0.44,0.46,0.56,0.48,0.45,0.5,0.44
gwanted.csv,0.41,0.85,0.91,0.89,0.41,0.45,0.96,0.96,0.89,0.0,0.52,0.75
ivatamasks.csv,0.39,0.6,0.36,0.43,0.45,0.63,0.44,0.5,0.78,0.47,0.42,0.54
java-gnome.csv,0.41,0.45,0.46,0.48,0.42,0.82,0.49,0.51,0.41,0.75,0.5,0.59
orc.csv,0.52,0.91,0.94,0.95,0.46,0.46,0.99,0.95,0.8,0.79,0.57,0.83
plato.csv,0.41,0.46,0.33,0.47,0.52,0.46,0.44,0.46,0.46,0.44,0.42,0.43
rodin-b-sharp.csv,0.92,0.7,0.93,0.63,0.89,0.82,0.69,0.97,0.48,0.0,0.62,0.95
tycho.csv,0.39,0.42,0.37,0.46,0.42,0.35,0.43,0.45,0.39,0.51,0.41,0.54
umber.csv,0.58,0.76,0.52,0.48,0.84,0.61,0.47,0.5,0.37,0.69,0.75,0.55
unicase.csv,0.39,0.37,0.4,0.54,0.61,0.42,0.58,0.48,0.79,0.83,0.44,0.64
vienna-add-in.csv,0.53,0.46,0.38,0.46,0.53,0.61,0.52,0.46,0.73,0.54,0.59,0.48
wpdev.csv,0.34,0.39,0.29,0.43,0.4,0.42,0.38,0.4,0.38,0.4,0.39,0.35
