,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.51,0.82,0.16,0.38,0.5,0.76,0.51,0.29,0.78,0.68,0.69,0.98
gwanted.csv,0.29,0.25,0.3,0.15,0.66,0.81,0.13,0.95,0.27,0.0,0.64,0.06
ivatamasks.csv,0.54,0.68,0.18,0.99,0.61,0.49,0.55,0.26,0.57,0.57,0.66,0.59
java-gnome.csv,0.57,0.79,0.23,0.76,0.53,0.42,0.62,0.34,0.99,0.23,0.57,0.51
orc.csv,0.06,0.15,1.0,0.17,0.61,0.8,0.25,0.33,0.03,0.26,0.63,0.29
plato.csv,0.18,0.89,0.16,0.73,0.7,0.99,0.53,0.28,0.79,0.67,0.81,0.77
rodin-b-sharp.csv,0.52,0.64,0.33,0.58,0.11,0.34,0.99,0.13,0.88,0.0,0.53,0.26
tycho.csv,0.44,0.85,0.21,0.76,0.62,0.59,0.38,0.36,0.85,0.97,0.83,0.42
umber.csv,1.0,0.48,0.19,0.64,0.29,0.52,0.59,0.36,0.83,0.42,0.42,0.34
unicase.csv,0.49,0.87,0.26,0.68,0.52,0.68,0.59,0.4,0.29,0.15,0.99,0.56
vienna-add-in.csv,0.64,0.91,0.08,0.76,0.99,0.47,0.47,0.27,0.48,0.53,0.58,0.6
wpdev.csv,0.41,1.0,0.19,0.81,0.8,0.91,0.53,0.28,0.88,0.71,0.84,0.8
