,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.62,0.58,0.79,0.8,0.72,0.7,0.68,0.66,0.48,0.9,0.63,0.03
gwanted.csv,0.92,0.86,0.75,0.92,0.99,1.02,0.92,0.07,0.84,1.0,0.95,0.97
ivatamasks.csv,0.5,0.69,0.76,0.01,0.83,0.81,0.63,0.7,0.61,0.95,0.6,0.57
java-gnome.csv,0.45,0.61,0.61,0.43,0.81,0.74,0.43,0.56,0.06,0.86,0.63,0.68
orc.csv,1.18,0.92,0.0,0.92,0.93,1.02,0.83,0.72,1.01,0.91,0.82,0.83
plato.csv,1.17,1.02,0.93,0.99,0.84,0.02,0.85,0.89,0.84,0.94,0.95,0.75
rodin-b-sharp.csv,0.58,0.72,0.69,0.66,0.94,0.82,0.03,0.88,0.26,1.0,0.65,0.87
tycho.csv,0.8,0.56,0.7,0.84,0.64,0.91,0.8,0.54,0.37,0.07,0.92,0.82
umber.csv,0.0,0.84,0.66,0.58,0.83,0.96,0.52,0.54,0.49,0.72,0.76,0.87
unicase.csv,0.57,0.23,0.6,0.67,0.7,0.59,0.49,0.59,0.95,0.92,0.02,0.7
vienna-add-in.csv,0.33,1.01,1.05,0.9,0.02,0.83,0.74,0.8,0.85,0.79,0.66,0.73
wpdev.csv,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.99,0.85
