,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.62,0.5,0.7,0.34,0.39,0.62,0.61,0.53,0.38,0.89,0.51,0.03
gwanted.csv,0.82,0.0,0.05,0.02,0.95,1.0,0.07,0.01,0.0,0.0,0.87,0.06
ivatamasks.csv,0.49,0.5,0.69,0.0,0.73,0.5,0.59,0.52,0.19,0.89,0.41,0.21
java-gnome.csv,0.44,0.5,0.56,0.3,0.61,0.0,0.3,0.4,0.06,0.11,0.29,0.32
orc.csv,0.76,0.0,0.0,0.21,0.85,1.0,0.26,0.09,0.25,0.43,0.7,0.18
plato.csv,0.98,1.0,0.89,0.98,0.8,0.0,0.84,0.88,0.81,0.93,0.94,0.74
rodin-b-sharp.csv,0.07,0.5,0.06,0.43,0.1,0.25,0.0,0.21,0.19,0.0,0.23,0.26
tycho.csv,0.8,0.5,0.67,0.83,0.46,0.75,0.61,0.43,0.31,0.07,0.92,0.47
umber.csv,0.0,0.5,0.35,0.36,0.1,0.75,0.45,0.32,0.44,0.11,0.28,0.44
unicase.csv,0.55,0.0,0.59,0.57,0.39,0.38,0.41,0.59,0.5,0.11,0.02,0.47
vienna-add-in.csv,0.31,1.0,0.8,0.89,0.0,0.5,0.66,0.76,0.56,0.64,0.4,0.59
wpdev.csv,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.99,0.85
