,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.35,0.99,0.09,0.63,0.67,0.85,0.4,0.19,0.87,0.55,0.76,0.98
gwanted.csv,0.2,1.0,0.36,0.89,0.61,0.81,0.38,0.96,1.0,0.0,0.65,0.5
ivatamasks.csv,0.39,0.99,0.1,1.0,0.62,0.79,0.43,0.17,0.89,0.49,0.78,0.81
java-gnome.csv,0.41,0.99,0.13,0.83,0.61,1.0,0.56,0.24,0.98,0.62,0.8,0.7
orc.csv,0.05,1.0,1.0,0.5,0.6,0.8,0.32,0.4,0.2,0.37,0.69,0.67
plato.csv,0.11,0.98,0.09,0.64,0.66,1.0,0.38,0.17,0.78,0.54,0.72,0.69
rodin-b-sharp.csv,0.67,0.99,0.36,0.71,0.56,0.82,1.0,0.12,0.94,0.0,0.82,0.55
tycho.csv,0.29,0.99,0.12,0.68,0.71,0.77,0.31,0.24,0.9,0.95,0.73,0.57
umber.csv,1.0,0.98,0.12,0.76,0.79,0.74,0.49,0.27,0.87,0.77,0.73,0.52
unicase.csv,0.35,1.0,0.15,0.71,0.69,0.88,0.5,0.25,0.58,0.5,0.99,0.66
vienna-add-in.csv,0.5,0.98,0.04,0.67,1.0,0.78,0.37,0.17,0.7,0.51,0.76,0.64
wpdev.csv,0.26,1.0,0.1,0.68,0.67,0.84,0.36,0.16,0.78,0.56,0.73,0.68
