,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.73,0.65,0.51,0.32,0.43,0.59,0.6,0.58,0.68,0.37,0.6,0.98
gwanted.csv,0.4,0.17,0.29,0.1,0.2,0.0,0.1,0.94,0.19,0.0,0.35,0.04
ivatamasks.csv,0.77,0.52,0.55,0.99,0.48,0.38,0.65,0.53,0.46,0.34,0.57,0.51
java-gnome.csv,0.8,0.61,0.66,0.69,0.45,0.31,0.69,0.61,0.99,0.17,0.48,0.45
orc.csv,0.12,0.1,1.0,0.12,0.38,0.0,0.25,0.34,0.02,0.23,0.49,0.22
plato.csv,0.08,0.0,0.35,0.09,0.49,0.98,0.47,0.39,0.49,0.27,0.24,0.6
rodin-b-sharp.csv,0.47,0.48,0.36,0.5,0.07,0.25,0.98,0.17,0.82,0.0,0.43,0.2
tycho.csv,0.54,0.68,0.63,0.47,0.55,0.41,0.46,0.65,0.78,0.99,0.3,0.36
umber.csv,1.0,0.34,0.47,0.57,0.21,0.36,0.7,0.59,0.73,0.34,0.33,0.28
unicase.csv,0.72,0.81,0.75,0.6,0.45,0.56,0.69,0.76,0.22,0.11,0.99,0.49
vienna-add-in.csv,0.84,0.0,0.28,0.37,0.98,0.35,0.56,0.53,0.38,0.49,0.49,0.52
wpdev.csv,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.05,0.46
