,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.95,0.7,0.62,0.28,0.4,0.69,0.7,0.61,0.7,0.89,0.63,0.98
gwanted.csv,0.58,0.14,0.25,0.08,0.72,0.81,0.08,0.93,0.16,0.0,0.62,0.03
ivatamasks.csv,0.89,0.52,0.69,0.99,0.6,0.36,0.77,0.54,0.42,0.69,0.57,0.47
java-gnome.csv,0.89,0.65,0.75,0.69,0.47,0.26,0.69,0.61,1.0,0.14,0.44,0.41
orc.csv,0.11,0.08,1.0,0.1,0.63,0.79,0.21,0.29,0.02,0.2,0.58,0.19
plato.csv,0.37,0.82,0.75,0.85,0.76,0.98,0.89,0.86,0.81,0.89,0.93,0.88
rodin-b-sharp.csv,0.42,0.48,0.31,0.49,0.06,0.21,0.97,0.14,0.82,0.0,0.39,0.17
tycho.csv,0.95,0.74,0.81,0.86,0.55,0.48,0.48,0.68,0.81,1.0,0.96,0.33
umber.csv,1.0,0.32,0.44,0.55,0.18,0.4,0.75,0.57,0.79,0.29,0.29,0.25
unicase.csv,0.84,0.77,0.94,0.66,0.42,0.55,0.72,0.96,0.19,0.09,0.99,0.48
vienna-add-in.csv,0.89,0.84,0.31,0.87,0.98,0.33,0.67,0.75,0.37,0.54,0.47,0.56
wpdev.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.93,1.0,1.0,1.0,0.97
