,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,1.0,0.0,61.0,2.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
gwanted.csv,3.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,62.0,0.0,2.0
ivatamasks.csv,17.0,0.0,8.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
java-gnome.csv,0.0,0.0,16.0,3.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
orc.csv,3.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,0.0
plato.csv,4.0,0.0,17.0,2.0,0.0,0.0,1.0,23.0,0.0,0.0,0.0,0.0
rodin-b-sharp.csv,4.0,0.0,1.0,0.0,1.0,0.0,0.0,17.0,0.0,62.0,0.0,0.0
tycho.csv,4.0,0.0,17.0,1.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,4.0
umber.csv,0.0,0.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
unicase.csv,20.0,0.0,9.0,2.0,1.0,0.0,1.0,11.0,1.0,1.0,0.0,0.0
vienna-add-in.csv,5.0,0.0,16.0,1.0,0.0,0.0,1.0,14.0,0.0,1.0,0.0,0.0
wpdev.csv,4.0,0.0,17.0,2.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0
