,wxcrp.csv,openmeetings.csv,jnode.csv,gnukeda.csv,etherboot.csv,aufs.csv,freebios.csv,gebr.csv,pgui.csv,tradelink.csv,google-gears.csv,gstreamer.csv,crux-framework.csv,metacosm.csv
aufs.csv,0.45,0.77,0.58,0.5,0.44,0.96,0.53,0.21,0.64,0.65,0.4,0.48,0.65,0.58
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
etherboot.csv,0.6,0.54,0.0,0.38,0.96,0.35,0.21,0.53,0.63,0.3,0.61,0.49,0.66,0.09
freebios.csv,0.53,0.82,0.59,0.45,0.56,0.56,0.98,0.44,0.55,0.61,0.47,0.58,0.76,0.42
gebr.csv,0.4,0.35,0.61,0.62,0.59,0.36,0.27,0.98,0.57,0.55,0.63,0.66,0.33,0.68
gnukeda.csv,0.54,0.74,0.55,0.96,0.61,0.7,0.58,0.67,0.54,0.55,0.66,0.61,0.69,0.61
google-gears.csv,0.65,0.68,0.53,0.7,0.55,0.6,0.42,0.69,0.29,0.64,1.0,0.63,0.36,0.58
gstreamer.csv,0.67,0.76,0.5,0.5,0.47,0.71,0.35,0.5,0.66,0.43,0.48,0.97,0.65,0.62
jnode.csv,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
metacosm.csv,0.55,0.75,0.58,0.36,0.31,0.68,0.21,0.31,0.64,0.35,0.43,0.52,0.9,0.97
openmeetings.csv,0.07,0.96,0.36,0.16,0.0,0.28,0.07,0.05,0.13,0.25,0.09,0.09,0.0,0.38
pgui.csv,0.64,0.69,0.42,0.43,0.48,0.36,0.28,0.48,0.92,0.5,0.45,0.36,0.69,0.37
tradelink.csv,0.23,0.06,0.07,0.16,0.21,0.0,0.35,0.05,0.43,0.96,0.16,0.27,0.0,0.09
wxcrp.csv,0.89,0.59,0.68,0.12,0.17,0.55,0.05,0.35,0.51,0.46,0.31,0.35,0.66,0.55
