,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,java-gnome.csv,tycho.csv,unicase.csv,codesmith.csv
codesmith.csv,0.15,1.0,0.81,0.3,0.12,0.12,0.75,0.44,0.62,1.0,0.17,0.21
gwanted.csv,0.36,0.0,0.35,0.15,0.05,0.62,0.31,0.17,0.19,0.0,0.54,0.0
ivatamasks.csv,0.93,0.0,0.73,0.32,0.93,0.25,0.67,0.34,0.5,0.86,0.84,0.38
java-gnome.csv,0.16,1.0,0.2,0.04,0.32,0.12,0.36,0.33,0.12,0.14,0.28,0.59
orc.csv,0.2,0.0,0.2,0.32,0.22,0.62,0.33,0.24,0.25,0.0,0.23,0.18
plato.csv,0.98,1.0,0.97,0.85,0.98,0.25,0.95,0.66,0.5,1.0,0.98,0.94
rodin-b-sharp.csv,0.0,1.0,0.09,0.3,0.07,0.5,0.15,0.48,0.44,0.0,0.1,0.62
tycho.csv,0.51,0.5,0.24,0.72,0.32,0.12,0.63,0.24,0.25,0.21,0.9,0.21
umber.csv,0.13,1.0,0.99,0.64,0.83,1.0,0.89,0.86,1.0,0.46,0.3,1.0
unicase.csv,0.27,0.0,0.69,0.94,0.44,0.75,0.65,0.54,0.69,0.57,0.41,0.74
vienna-add-in.csv,0.73,1.0,0.88,0.72,0.39,0.62,0.53,0.32,0.31,0.57,0.67,0.47
wpdev.csv,0.98,0.0,0.98,1.0,0.98,1.0,1.0,0.93,1.0,0.96,0.99,0.88
