,jmoney.csv,sqlpower-library.csv,neodatis-odb.csv,cuberok.csv,gabel.csv,mycila.csv,tmva.csv,unicase.csv,servicestack.csv,synecdoche.csv,javaprofiler.csv
cuberok.csv,0.3,0.63,0.32,0.67,0.31,0.38,0.65,0.68,0.39,0.36,0.63
gabel.csv,0.09,0.44,0.4,0.47,0.45,0.2,0.59,0.33,0.21,0.42,0.24
javaprofiler.csv,0.42,0.7,0.5,0.58,0.18,0.33,0.76,0.8,0.5,0.55,0.74
jmoney.csv,0.82,0.8,0.34,0.49,0.29,0.09,0.5,0.5,0.48,0.53,0.35
mycila.csv,0.59,0.72,0.28,0.56,0.23,0.5,0.73,0.76,0.17,0.54,0.49
neodatis-odb.csv,0.45,0.43,0.61,0.51,0.1,0.44,0.15,0.76,0.11,0.56,0.46
servicestack.csv,0.08,0.04,0.31,0.07,0.0,0.1,0.17,0.06,0.59,0.12,0.12
sqlpower-library.csv,0.49,0.79,0.4,0.39,0.19,0.28,0.71,0.65,0.54,0.5,0.76
synecdoche.csv,0.63,0.76,0.32,0.56,0.17,0.26,0.64,0.67,0.29,0.6,0.43
tmva.csv,0.53,0.83,0.5,0.57,0.14,0.33,0.82,0.84,0.41,0.45,0.61
unicase.csv,0.52,0.8,0.5,0.42,0.23,0.33,0.8,0.8,0.39,0.52,0.73
