,hatari.csv,nullc.csv,superwaba.csv,lmms.csv,etherboot.csv,vienna-add-in.csv,voms.csv,tycho.csv,fityk.csv,mecat.csv,wsmt.csv,oscarmcmaster.csv
etherboot.csv,0.5,0.58,0.0,0.0,0.56,0.53,0.0,0.0,0.6,0.47,0.74,0.0
fityk.csv,0.35,0.69,0.09,0.54,0.35,0.32,0.47,0.5,0.67,0.84,0.51,0.58
hatari.csv,0.69,0.5,0.46,0.52,0.54,0.51,0.63,0.13,0.47,0.27,0.73,0.53
lmms.csv,0.57,0.57,0.73,0.66,0.57,0.46,0.37,0.41,0.47,0.78,0.73,0.65
mecat.csv,0.25,0.12,0.39,0.16,0.27,0.01,0.13,0.0,0.19,0.97,0.0,0.11
nullc.csv,0.59,0.69,0.29,0.64,0.45,0.53,0.4,0.45,0.57,0.83,0.13,0.64
oscarmcmaster.csv,0.51,0.65,0.72,0.66,0.51,0.5,0.57,0.27,0.54,0.67,0.3,0.62
superwaba.csv,0.6,0.72,0.69,0.46,0.36,0.5,0.26,0.59,0.48,0.62,0.31,0.48
tycho.csv,0.51,0.48,0.57,0.47,0.45,0.29,0.13,0.72,0.31,0.37,0.07,0.39
vienna-add-in.csv,0.54,0.57,0.47,0.53,0.51,0.68,0.57,0.66,0.45,0.34,0.0,0.48
voms.csv,0.6,0.35,0.53,0.52,0.36,0.43,0.79,0.64,0.47,0.85,0.11,0.61
wsmt.csv,0.04,0.1,0.45,0.15,0.17,0.42,0.0,0.27,0.0,0.0,0.76,0.33
