,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.15,0.41,0.18,0.95,0.31,0.19,0.29,0.12,0.3,0.15
flexpay.csv,0.1,0.57,0.95,0.29,0.34,0.38,0.53,0.33,0.14,0.73
jstock.csv,0.08,0.46,0.12,0.08,0.41,0.2,0.16,0.96,0.06,0.0
keyczar.csv,0.23,0.57,0.25,0.44,0.37,0.16,0.26,0.42,0.17,0.98
modellus.csv,0.27,0.49,0.29,0.12,0.59,0.97,0.47,0.31,0.21,0.38
open-data-kit.csv,0.3,0.59,0.24,0.43,0.45,0.65,0.98,0.41,0.19,0.62
phet.csv,0.97,0.2,0.19,0.34,0.06,0.16,0.41,0.25,0.23,0.49
qtractor.csv,0.15,0.98,0.29,0.41,0.41,0.65,0.62,0.36,0.2,0.51
sumatrapdf.csv,0.26,0.66,0.29,0.43,0.98,0.75,0.65,0.39,0.44,0.37
synergyspace.csv,0.26,0.39,0.24,0.32,0.26,0.47,0.71,0.0,0.94,0.25
