,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.13,0.29,0.18,0.9,0.23,0.14,0.2,0.15,0.35,0.08
flexpay.csv,0.07,0.57,0.91,0.33,0.45,0.38,0.53,0.46,0.12,0.73
jstock.csv,0.06,0.32,0.1,0.05,0.26,0.12,0.09,0.92,0.04,0.0
keyczar.csv,0.23,0.57,0.27,0.67,0.58,0.09,0.16,0.38,0.15,0.98
modellus.csv,0.32,0.39,0.48,0.1,0.58,0.94,0.36,0.38,0.23,0.25
open-data-kit.csv,0.54,0.57,0.51,0.52,0.61,0.73,0.97,0.62,0.27,0.5
phet.csv,0.94,0.14,0.25,0.29,0.03,0.1,0.34,0.23,0.31,0.38
qtractor.csv,0.17,0.96,0.4,0.38,0.42,0.58,0.51,0.46,0.19,0.35
sumatrapdf.csv,0.41,0.71,0.65,0.52,0.97,0.87,0.62,0.46,0.92,0.25
synergyspace.csv,0.32,0.25,0.3,0.33,0.19,0.4,0.84,0.0,0.88,0.15
