,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.89,0.73,0.84,0.1,0.78,0.92,0.84,0.94,0.7,0.92
flexpay.csv,0.94,0.66,0.09,0.83,0.87,0.88,0.93,0.67,0.89,0.91
jstock.csv,0.95,0.68,0.91,0.95,0.74,0.88,0.91,0.08,0.96,1.0
keyczar.csv,0.81,0.66,0.75,0.73,0.97,0.91,0.85,0.63,0.86,0.07
modellus.csv,0.75,0.66,0.64,0.93,0.47,0.06,0.7,0.7,0.81,0.78
open-data-kit.csv,0.78,0.6,0.75,0.65,0.73,0.6,0.03,0.57,0.84,0.6
phet.csv,0.06,0.94,0.8,0.74,0.97,0.91,0.88,0.79,0.78,0.78
qtractor.csv,0.9,0.04,0.66,0.66,0.68,0.47,0.55,0.63,0.83,0.66
sumatrapdf.csv,0.8,0.61,0.68,0.65,0.03,0.47,0.61,0.61,0.59,0.82
synergyspace.csv,0.77,0.75,0.75,0.76,0.82,0.68,0.92,1.01,0.12,0.86
