,phet.csv,qtractor.csv,flexpay.csv,fceugc.csv,sumatrapdf.csv,modellus.csv,open-data-kit.csv,jstock.csv,synergyspace.csv,keyczar.csv
fceugc.csv,0.98,0.73,0.99,0.63,0.93,0.97,0.96,0.65,0.97,0.8
flexpay.csv,0.97,0.71,0.99,0.68,0.55,0.64,0.59,0.57,0.94,0.5
jstock.csv,0.97,0.82,0.98,0.67,0.88,0.92,0.9,0.83,0.83,0.0
keyczar.csv,0.68,0.39,0.74,0.36,0.36,0.93,0.94,0.91,0.81,0.44
modellus.csv,0.62,0.82,0.53,0.92,0.63,0.47,0.59,0.58,0.73,0.6
open-data-kit.csv,0.45,0.46,0.51,0.5,0.4,0.42,0.45,0.5,0.53,0.55
phet.csv,0.98,0.92,0.93,0.79,0.5,0.96,0.77,0.91,0.86,0.72
qtractor.csv,0.59,0.48,0.62,0.67,0.53,0.49,0.44,0.5,0.7,0.47
sumatrapdf.csv,0.46,0.61,0.54,0.7,0.63,0.42,0.56,0.5,0.57,0.82
synergyspace.csv,0.76,0.88,0.94,0.78,0.93,0.67,0.43,0.83,0.96,0.78
