,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.95,0.66,0.26,0.56,0.31,0.11,0.1,0.66,0.31,0.47,0.33
ivef-sdk.csv,0.61,0.66,1.0,0.54,0.42,0.06,0.25,0.63,0.68,0.52,0.24
jaolt.csv,0.47,0.47,0.34,0.29,0.97,0.52,0.73,0.17,0.5,0.39,0.69
jmule.csv,0.57,0.57,0.24,0.49,0.58,0.49,0.57,0.75,0.21,0.52,1.0
jstock.csv,0.11,0.09,0.05,0.1,0.3,0.59,1.0,0.0,0.0,0.13,0.25
lphant.csv,0.65,0.63,0.52,0.55,0.65,0.96,0.49,0.48,0.58,0.57,0.66
novembre.csv,0.17,0.94,0.04,0.1,0.41,0.17,0.27,0.11,0.06,0.22,0.2
oorexx.csv,0.61,0.7,0.15,0.54,0.62,0.58,0.74,0.62,0.6,0.98,0.65
pi-qmc.csv,0.19,0.49,0.12,0.31,0.4,0.63,0.27,1.0,0.06,0.28,0.42
qedo.csv,0.25,0.0,0.51,0.04,0.04,0.0,0.1,0.25,1.0,0.29,0.05
yaprm.csv,0.41,0.48,0.52,0.98,0.32,0.0,0.27,0.59,0.62,0.48,0.29
