,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.0,4.0,0.0,1.0,2.0,0.0,8.0,0.0,19.0,0.0,0.0
ivef-sdk.csv,3.0,7.0,0.0,1.0,0.0,6.0,5.0,3.0,0.0,1.0,3.0
jaolt.csv,4.0,2.0,1.0,0.0,0.0,11.0,0.0,27.0,22.0,1.0,4.0
jmule.csv,1.0,8.0,1.0,0.0,0.0,10.0,0.0,1.0,6.0,2.0,0.0
jstock.csv,0.0,4.0,0.0,1.0,0.0,5.0,0.0,77.0,260.0,1.0,0.0
lphant.csv,2.0,1.0,1.0,3.0,0.0,0.0,1.0,18.0,0.0,1.0,1.0
novembre.csv,0.0,0.0,0.0,2.0,1.0,0.0,8.0,3.0,10.0,1.0,0.0
oorexx.csv,0.0,1.0,5.0,1.0,1.0,5.0,0.0,0.0,4.0,0.0,2.0
pi-qmc.csv,0.0,8.0,0.0,1.0,0.0,4.0,2.0,0.0,25.0,0.0,1.0
qedo.csv,2.0,54.0,0.0,0.0,2.0,54.0,5.0,23.0,0.0,1.0,1.0
yaprm.csv,0.0,7.0,1.0,0.0,2.0,54.0,8.0,21.0,37.0,0.0,1.0
