,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.43,0.38,0.81,0.33,0.88,0.88,0.89,0.59,0.78,0.5,0.71
ivef-sdk.csv,0.44,0.47,0.61,0.35,0.84,0.88,0.63,0.48,0.82,0.43,0.87
jaolt.csv,0.36,0.36,0.46,0.31,0.39,0.36,0.44,0.42,0.51,0.4,0.34
jmule.csv,0.39,0.41,0.73,0.45,0.39,0.33,0.53,0.58,0.38,0.47,0.5
jstock.csv,0.88,0.83,0.67,0.83,0.68,0.41,0.77,0.67,0.97,0.86,0.83
lphant.csv,0.33,0.34,0.58,0.32,0.33,0.52,0.38,0.61,0.35,0.39,0.35
novembre.csv,0.9,0.71,0.5,0.88,0.72,0.67,0.64,0.8,0.68,0.83,0.83
oorexx.csv,0.41,0.35,0.65,0.4,0.41,0.36,0.35,0.48,0.58,0.51,0.38
pi-qmc.csv,0.89,0.46,0.75,0.75,0.5,0.37,0.89,0.59,0.83,0.72,0.56
qedo.csv,0.94,0.8,0.97,0.67,0.86,0.67,0.83,0.72,0.95,0.94,0.75
yaprm.csv,0.65,0.52,0.6,0.53,0.7,0.0,0.83,0.55,0.99,0.52,0.82
