,inkscape.csv,novembre.csv,ivef-sdk.csv,yaprm.csv,jaolt.csv,lphant.csv,jstock.csv,pi-qmc.csv,qedo.csv,oorexx.csv,jmule.csv
inkscape.csv,0.95,0.73,0.22,0.78,0.27,0.09,0.08,0.64,0.27,0.47,0.29
ivef-sdk.csv,0.77,0.73,1.0,0.89,0.38,0.05,0.23,0.86,0.77,0.86,0.21
jaolt.csv,0.93,0.8,0.87,0.86,0.99,0.82,0.77,0.82,0.5,0.86,0.79
jmule.csv,0.63,0.73,0.21,0.57,0.58,0.86,0.54,0.77,0.18,0.53,1.0
jstock.csv,0.09,0.07,0.04,0.08,0.26,0.64,1.0,0.0,0.0,0.11,0.21
lphant.csv,0.7,0.67,0.54,0.76,0.77,0.95,0.54,0.45,0.64,0.58,0.75
novembre.csv,0.14,0.93,0.03,0.08,0.36,0.14,0.23,0.09,0.05,0.19,0.17
oorexx.csv,0.65,0.87,0.13,0.59,0.73,0.82,0.92,0.59,0.59,0.97,0.79
pi-qmc.csv,0.16,0.47,0.1,0.27,0.36,0.64,0.23,1.0,0.05,0.25,0.38
qedo.csv,0.21,0.0,0.45,0.03,0.03,0.0,0.08,0.23,1.0,0.25,0.04
yaprm.csv,0.37,0.47,0.58,0.97,0.29,0.0,0.23,0.64,0.59,0.44,0.25
