,ildjit.csv,jfreereport.csv,gebr.csv,amateur-scrolls.csv,foursquared.csv,kml.csv,pcsx2.csv,wxjs.csv,ffigo.csv,ng4j.csv
amateur-scrolls.csv,1.0,0.82,1.0,0.44,0.66,1.0,0.81,0.63,0.65,0.84
ffigo.csv,0.52,0.83,0.96,0.66,0.68,0.89,0.86,1.0,0.41,0.71
foursquared.csv,1.0,0.71,0.9,1.0,0.23,0.92,1.0,1.0,1.0,1.0
gebr.csv,0.75,0.97,0.34,1.0,1.0,0.72,0.88,0.93,1.0,0.93
ildjit.csv,0.43,0.77,0.78,0.74,0.83,0.71,0.83,1.01,0.68,0.81
jfreereport.csv,0.95,0.6,0.82,0.46,0.63,0.58,0.67,0.88,0.68,0.75
kml.csv,0.96,0.98,0.43,0.87,0.98,0.34,0.63,0.9,0.74,0.88
ng4j.csv,0.54,0.61,0.54,0.54,0.58,0.64,0.5,1.04,0.56,0.32
pcsx2.csv,0.93,0.58,1.0,0.85,0.58,0.56,0.5,0.71,0.99,0.58
wxjs.csv,1.0,0.96,1.0,1.0,1.0,0.95,0.96,0.2,0.99,1.0
