,sauerbraten.csv,rezilla.csv,badtrinity-zero.csv,kvs.csv,exordium.csv,webdriver.csv,hydrogen.csv,google-caja.csv,yafdotnet.csv,megameknet.csv,openmsx.csv,ns-3-dev-def-routing.csv,kmess.csv,open-ms.csv
badtrinity-zero.csv,0.66,0.44,0.97,0.29,0.41,0.53,0.33,0.49,0.38,0.42,0.43,0.49,0.65,0.38
exordium.csv,0.33,0.1,0.32,0.23,0.97,0.31,0.52,0.4,0.41,0.55,0.11,0.41,0.4,0.31
google-caja.csv,0.8,0.49,0.63,0.4,0.47,0.61,0.28,1.0,0.58,0.42,0.43,0.61,0.73,0.38
hydrogen.csv,0.48,0.0,0.43,0.31,0.28,0.36,1.0,0.3,0.47,0.44,0.28,0.41,0.36,0.28
kmess.csv,0.79,0.39,0.54,0.35,0.54,0.55,0.35,0.54,0.44,0.57,0.51,0.54,0.99,0.34
kvs.csv,0.27,0.0,0.26,1.0,0.31,0.21,0.24,0.36,0.21,0.25,0.16,0.25,0.31,0.15
megameknet.csv,0.6,0.16,0.45,0.18,0.4,0.55,0.37,0.48,0.5,0.94,0.49,0.39,0.58,0.4
ns-3-dev-def-routing.csv,0.43,0.16,0.37,0.16,0.51,0.54,0.37,0.18,0.29,0.16,0.12,0.99,0.39,0.34
open-ms.csv,0.37,0.2,0.48,0.24,0.2,0.53,0.15,0.49,0.37,0.22,0.45,0.34,0.53,0.93
openmsx.csv,0.61,0.52,0.44,0.25,0.39,0.57,0.27,0.6,0.45,0.32,0.96,0.39,0.42,0.34
rezilla.csv,0.67,0.94,0.64,0.27,0.31,0.56,0.3,0.76,0.5,0.26,0.45,0.47,0.63,0.33
sauerbraten.csv,0.97,0.32,0.38,0.14,0.39,0.35,0.44,0.23,0.33,0.49,0.13,0.39,0.46,0.37
webdriver.csv,0.8,0.09,0.39,0.43,0.5,0.99,0.46,0.32,0.46,0.48,0.21,0.52,0.56,0.39
yafdotnet.csv,0.74,0.48,0.58,0.33,0.43,0.58,0.33,0.76,0.97,0.47,0.53,0.52,0.77,0.34
