,smbopensoft.csv,lamp.csv,thout.csv,bscwweasel.csv,retromenu.csv,capcode.csv,boost-sandbox.csv,stuproa-cims.csv,nodal.csv,pydev.csv,mecat.csv,emite.csv,fluent-nhibernate.csv,uface.csv,cme.csv
boost-sandbox.csv,0.33,0.12,0.36,0.16,0.51,0.19,1.0,0.3,0.42,0.59,0.05,0.61,0.21,0.66,0.24
bscwweasel.csv,0.02,0.11,0.39,0.95,0.36,0.27,0.05,0.06,0.16,0.23,0.0,0.06,0.21,0.09,0.0
capcode.csv,0.02,0.17,0.17,0.25,0.16,0.96,0.54,0.15,0.24,0.31,0.13,0.47,0.12,0.12,0.0
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,1.0
emite.csv,0.08,0.14,0.29,0.25,0.56,0.11,0.69,0.28,0.29,0.47,0.3,0.98,0.28,0.43,0.28
fluent-nhibernate.csv,0.04,0.0,0.04,0.21,0.13,0.0,0.37,0.32,0.18,0.19,0.18,0.06,0.97,0.2,0.0
lamp.csv,0.02,0.93,0.28,0.18,0.56,0.24,0.22,0.1,0.47,0.44,0.11,0.11,0.33,0.1,0.28
mecat.csv,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.0,0.21
nodal.csv,0.06,0.23,0.36,0.16,0.45,0.2,0.37,0.18,1.0,0.49,0.21,0.25,0.3,0.16,0.27
pydev.csv,0.62,0.18,0.4,0.24,0.63,0.2,0.18,0.38,0.3,0.92,0.16,0.24,0.22,0.41,0.19
retromenu.csv,0.23,0.14,0.42,0.26,1.0,0.23,0.22,0.26,0.26,0.44,0.29,0.11,0.43,0.14,0.24
smbopensoft.csv,0.96,0.24,0.43,0.27,0.51,0.15,0.44,0.3,0.32,0.28,0.09,0.33,0.29,0.19,0.34
stuproa-cims.csv,0.65,0.33,0.3,0.28,0.51,0.28,0.58,0.96,0.37,0.56,0.12,0.41,0.24,0.77,0.2
thout.csv,0.08,0.14,0.91,0.16,0.41,0.22,0.64,0.39,0.46,0.43,0.08,0.51,0.2,0.49,0.28
uface.csv,0.66,0.18,0.4,0.31,0.51,0.24,0.83,0.42,0.36,0.49,0.11,0.64,0.19,1.0,0.05
