,campsoft.csv,sevenupdate.csv,extprosys.csv,cleartk.csv,opennms.csv,intact.csv,rohxel.csv,japano.csv,encog-cs.csv,lockss.csv,officefloor.csv,roolo.csv,ofbiz.csv,ibatisdb.csv
cleartk.csv,0.39,0.65,0.56,0.38,0.47,0.47,0.48,0.45,0.43,0.42,0.51,0.44,0.44,0.47
encog-cs.csv,0.37,0.52,0.62,0.43,0.38,0.35,0.4,0.56,0.48,0.94,0.5,0.48,0.53,0.5
extprosys.csv,0.42,0.43,0.61,0.4,0.38,0.42,0.73,0.57,0.56,0.44,0.49,0.51,0.4,0.45
ibatisdb.csv,0.83,0.69,0.62,0.93,0.54,0.8,0.88,0.64,0.6,0.56,0.53,0.88,0.93,0.62
intact.csv,0.43,0.42,0.61,0.36,0.43,0.57,0.55,0.48,0.42,0.41,0.47,0.55,0.41,0.51
japano.csv,0.4,0.46,0.57,0.38,0.42,0.41,0.38,0.57,0.36,0.46,0.48,0.45,0.42,0.52
lockss.csv,0.57,0.44,0.95,0.91,0.71,0.86,0.67,0.38,0.95,0.4,0.52,0.54,0.48,0.54
ofbiz.csv,0.48,0.45,0.59,0.46,0.63,0.43,0.48,0.49,0.55,0.71,0.48,0.62,0.44,0.54
officefloor.csv,0.45,0.64,0.63,0.4,0.75,0.64,0.0,0.38,0.51,0.71,0.52,0.86,0.69,0.4
opennms.csv,0.65,0.56,0.93,0.91,0.62,0.89,0.44,0.67,0.93,0.63,0.99,0.75,0.64,0.83
rohxel.csv,0.51,0.44,0.48,0.56,0.58,0.68,0.48,0.44,0.4,0.44,0.53,0.62,0.56,0.49
roolo.csv,0.42,0.5,0.51,0.45,0.42,0.43,0.62,0.67,0.54,0.63,0.49,0.83,0.48,0.52
sevenupdate.csv,0.3,0.61,0.47,0.35,0.38,0.33,0.36,0.47,0.37,0.58,0.45,0.4,0.39,0.42
