,f1,g,recall,precision,pf,wins
bnetd.csv,0.5800000000000001,0.55,0.72,0.615,0.655,7
carabiner.csv,0.7,0.595,0.825,0.6000000000000001,0.76,12
elvishrayrenderer.csv,0.495,0.385,0.45499999999999996,0.6,0.255,4
fleet-simulator.csv,0.665,0.12,0.985,0.5,0.97,2
gmerlin.csv,0.65,0.30000000000000004,0.915,0.505,0.87,3
gnome-jabber.csv,0.6,0.6,0.64,0.575,0.5700000000000001,8
ipfilter.csv,0.5700000000000001,0.53,0.865,0.46499999999999997,0.735,5
irplus.csv,0.5549999999999999,0.58,0.5449999999999999,0.6599999999999999,0.275,13
mevenide.csv,0.22,0.18,0.15000000000000002,0.54,0.06,0
moving-pictures.csv,0.515,0.445,0.505,0.675,0.35,6
opensim4opencog.csv,0.53,0.53,0.54,0.635,0.345,10
rockbox.csv,0.535,0.475,0.43,0.65,0.225,9
ta3d.csv,0.29000000000000004,0.265,0.245,0.43,0.095,1
xcmetadataservicestoolkit.csv,0.47,0.495,0.645,0.6299999999999999,0.35,11
