,raygina.csv,mob-sen-plat.csv,flylegacy.csv,bloodycore.csv,upp-mirror.csv,jguard.csv,wishmaster.csv,st-filteredstatistics.csv,m-a-d-n-e-s-s.csv,yarp.csv
bloodycore.csv,0.88,0.93,0.63,0.06,0.92,1.0,1.0,0.83,0.96,0.92
flylegacy.csv,0.62,0.84,0.09,0.71,0.59,0.75,0.7,0.67,0.62,0.62
jguard.csv,0.59,0.73,0.62,0.65,0.75,0.03,0.87,0.56,0.83,0.85
m-a-d-n-e-s-s.csv,0.81,0.82,0.66,0.73,0.8,0.88,0.87,0.81,0.04,0.93
mob-sen-plat.csv,0.79,0.06,0.74,0.82,0.86,0.61,0.66,0.87,0.68,0.59
raygina.csv,0.05,0.99,0.73,0.59,0.66,0.91,0.63,0.59,0.72,0.57
st-filteredstatistics.csv,0.67,0.66,0.73,0.83,0.72,0.73,0.9,0.0,0.69,0.86
upp-mirror.csv,0.61,0.89,0.59,0.57,0.0,0.75,0.83,0.77,0.54,0.9
wishmaster.csv,0.9,0.95,0.88,0.95,0.78,0.86,0.07,0.99,0.96,1.0
yarp.csv,0.81,0.94,0.71,0.88,0.94,0.85,0.79,0.97,0.51,0.0
