,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.75,0.5,0.88,0.8,0.8,0.5,0.88,0.83,0.89,0.0
coot.csv,0.39,0.72,0.51,0.75,0.66,0.5,0.58,0.41,0.67,0.46
haggle.csv,0.88,0.41,0.48,0.86,0.53,0.97,0.49,0.67,0.7,0.69
ibatisdb.csv,0.83,0.46,0.82,0.6,0.6,0.82,0.86,0.46,0.6,0.42
jas.csv,0.92,0.74,0.45,0.73,0.97,0.46,0.75,0.54,0.42,0.61
mesa3d.csv,0.37,0.53,0.43,0.52,0.49,0.44,0.73,0.39,0.52,0.43
ngl.csv,0.33,0.41,0.46,0.55,0.48,0.47,0.45,0.34,0.76,0.44
pustefix.csv,0.67,0.7,0.62,0.45,0.8,0.56,0.46,0.64,0.47,0.41
scenemonitor.csv,0.45,0.79,0.92,0.0,0.89,0.6,0.77,0.45,0.0,0.9
wsmt.csv,0.47,0.88,0.9,0.5,0.97,0.97,0.81,0.66,0.0,0.83
