,scenemonitor.csv,pustefix.csv,haggle.csv,avisynth2.csv,ibatisdb.csv,ngl.csv,jas.csv,wsmt.csv,mesa3d.csv,coot.csv
avisynth2.csv,0.85,1.0,0.91,0.03,0.94,1.0,1.0,0.82,0.94,1.0
coot.csv,0.76,0.83,0.67,1.0,0.84,0.59,0.97,0.79,1.0,0.43
haggle.csv,0.76,0.54,0.6,1.03,0.76,0.88,0.86,0.88,0.73,0.83
ibatisdb.csv,0.8,0.75,0.83,1.08,0.27,0.82,1.0,0.94,0.57,0.59
jas.csv,0.9,0.65,0.64,0.39,0.93,0.57,0.19,0.58,0.72,0.77
mesa3d.csv,0.45,0.53,0.59,0.39,0.7,0.59,0.78,1.12,0.56,0.78
ngl.csv,0.73,0.74,0.84,0.46,0.88,0.51,0.64,0.9,0.82,0.59
pustefix.csv,0.9,0.44,0.56,0.81,0.88,0.63,1.0,0.79,0.65,0.6
scenemonitor.csv,0.39,0.75,0.88,1.0,0.9,0.65,0.89,0.9,1.0,0.89
wsmt.csv,0.64,0.87,0.92,0.67,0.97,0.91,0.69,0.28,1.0,0.96
