,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.2,0.24,1.0,0.3
hibernate.csv,0.12,0.22,0.75,0.99
lamp.csv,1.0,0.67,1.0,0.46
thout.csv,0.09,1.0,0.6,0.29
