,lamp.csv,thout.csv,fityk.csv,hibernate.csv
fityk.csv,0.5,0.43,1.0,0.48
hibernate.csv,0.43,0.59,0.14,0.97
lamp.csv,0.86,0.14,0.11,0.11
thout.csv,0.36,0.89,0.34,0.51
