,ktc.csv,elmo.csv,neoengine.csv,zscreen.csv,rosegarden.csv,nicepress.csv,decidr.csv,gpac.csv,sylpheed-claws.csv,smarttag.csv,xemeiah.csv,sigil.csv,pcsx2.csv,img-browse-sort.csv,enzo.csv,doomlegacy.csv,salasaga.csv,pi-qmc.csv,open-ms.csv,skia.csv
decidr.csv,0.59,0.23,0.42,0.67,0.37,0.48,0.98,0.64,0.65,0.41,0.38,0.57,0.66,0.38,0.75,0.59,0.37,0.51,0.34,0.51
doomlegacy.csv,0.61,0.17,0.61,0.67,0.48,0.44,0.58,0.67,0.65,0.33,0.54,0.63,0.74,0.39,0.69,1.0,0.27,0.39,0.36,0.38
elmo.csv,0.06,0.89,0.0,0.08,0.0,0.0,0.07,0.04,0.0,0.0,0.03,0.04,0.03,0.12,0.16,0.0,0.06,0.07,0.02,0.0
enzo.csv,0.58,0.15,0.54,0.71,0.48,0.55,0.75,0.68,0.65,0.42,0.58,0.73,0.77,0.42,0.99,0.79,0.26,0.43,0.35,0.53
gpac.csv,0.59,0.17,0.46,0.49,0.52,0.47,0.59,0.99,0.59,0.51,0.59,0.72,0.59,0.48,0.48,0.63,0.37,0.55,0.29,0.42
img-browse-sort.csv,0.11,0.17,0.15,0.47,0.11,0.05,0.47,0.42,0.6,0.44,0.08,0.14,0.4,0.96,0.02,0.09,0.29,0.09,0.19,0.18
ktc.csv,0.96,0.21,0.52,0.49,0.51,0.46,0.51,0.36,0.38,0.39,0.47,0.56,0.34,0.26,0.3,0.62,0.39,0.4,0.33,0.39
neoengine.csv,0.64,0.13,0.97,0.6,0.52,0.52,0.52,0.69,0.62,0.36,0.49,0.66,0.72,0.43,0.69,0.78,0.26,0.46,0.34,0.48
nicepress.csv,0.59,0.05,0.53,0.16,0.51,0.99,0.38,0.47,0.31,0.14,0.4,0.53,0.44,0.21,0.61,0.59,0.17,0.5,0.29,0.36
open-ms.csv,0.5,0.21,0.22,0.44,0.33,0.36,0.21,0.09,0.33,0.39,0.31,0.51,0.36,0.21,0.19,0.37,0.15,0.42,0.98,0.07
pcsx2.csv,0.59,0.11,0.57,0.61,0.51,0.42,0.62,0.7,0.62,0.45,0.5,0.65,0.99,0.37,0.56,0.47,0.27,0.49,0.34,0.36
pi-qmc.csv,0.69,0.19,0.6,0.57,0.51,0.46,0.56,0.7,0.62,0.3,0.53,0.62,0.7,0.4,0.71,0.6,0.4,0.98,0.33,0.37
rosegarden.csv,0.61,0.17,0.52,0.36,0.99,0.48,0.34,0.41,0.42,0.28,0.52,0.63,0.63,0.24,0.52,0.62,0.37,0.62,0.28,0.24
salasaga.csv,0.52,0.11,0.46,0.67,0.35,0.47,0.64,0.58,0.6,0.34,0.49,0.55,0.67,0.36,0.81,0.84,0.96,0.45,0.3,0.43
sigil.csv,0.51,0.13,0.48,0.66,0.38,0.51,0.54,0.42,0.44,0.41,0.59,0.95,0.6,0.53,0.19,0.26,0.4,0.47,0.37,0.48
skia.csv,0.48,0.13,0.36,0.23,0.42,0.17,0.44,0.59,0.56,0.11,0.36,0.23,0.57,0.26,0.64,0.39,0.4,0.36,0.18,0.95
smarttag.csv,0.4,0.12,0.45,0.34,0.47,0.05,0.41,0.54,0.56,1.0,0.42,0.48,0.6,0.21,0.11,0.23,0.35,0.17,0.3,0.29
sylpheed-claws.csv,0.54,0.12,0.55,0.6,0.37,0.41,0.65,0.61,0.97,0.37,0.65,0.43,0.59,0.26,0.51,0.56,0.34,0.73,0.33,0.46
xemeiah.csv,0.66,0.15,0.6,0.44,0.56,0.58,0.52,0.6,0.55,0.38,0.99,0.51,0.63,0.36,0.52,0.57,0.34,0.59,0.35,0.45
zscreen.csv,0.54,0.18,0.52,1.0,0.4,0.45,0.59,0.71,0.6,0.3,0.53,0.61,0.76,0.44,0.77,0.63,0.31,0.29,0.33,0.49
