,fbmanager.csv,psycle.csv,qgis.csv,emeraldemu.csv,bochs.csv,bl-toolkit.csv,unimrcp.csv,sbml.csv,wow-qrsk.csv,plplot.csv,openmalaria.csv,modellus.csv,ardour.csv,powerfolder.csv,pi-qmc.csv
ardour.csv,0.59,0.55,0.56,0.51,0.57,0.52,0.67,0.48,0.62,0.57,0.94,0.61,0.46,0.56,0.75
bl-toolkit.csv,0.78,0.83,0.55,0.46,0.75,0.48,0.42,0.67,0.51,0.57,0.49,0.41,0.56,0.38,0.55
bochs.csv,0.58,0.57,0.48,0.5,0.66,0.56,0.81,0.48,0.56,0.72,0.59,0.56,0.42,0.62,0.58
emeraldemu.csv,0.67,0.74,0.68,0.62,0.71,0.92,0.86,0.69,0.72,0.59,0.92,0.8,0.49,0.85,0.86
fbmanager.csv,0.48,0.46,0.63,0.49,0.6,0.73,0.55,0.43,0.5,0.58,0.62,0.85,0.43,0.69,0.73
modellus.csv,0.71,0.68,0.62,0.59,0.7,0.59,0.51,0.54,0.55,0.74,0.61,0.47,0.41,0.48,0.7
openmalaria.csv,0.35,0.44,0.41,0.38,0.42,0.52,0.39,0.4,0.46,0.48,0.49,0.38,0.43,0.5,0.51
pi-qmc.csv,0.54,0.61,0.44,0.43,0.68,0.4,0.41,0.41,0.45,0.61,0.57,0.38,0.4,0.53,0.57
plplot.csv,0.53,0.57,0.48,0.41,0.6,0.46,0.35,0.45,0.45,0.68,0.47,0.39,0.39,0.36,0.92
powerfolder.csv,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.89,0.0,0.8,0.0
psycle.csv,0.44,0.49,0.45,0.37,0.54,0.48,0.41,0.37,0.44,0.53,0.41,0.4,0.35,0.33,0.49
qgis.csv,0.65,0.56,0.55,0.5,0.59,0.68,0.55,0.49,0.56,0.6,0.67,0.57,0.43,0.72,0.56
sbml.csv,0.41,0.45,0.38,0.35,0.58,0.39,0.36,0.39,0.4,0.45,0.4,0.37,0.36,0.33,0.55
unimrcp.csv,0.9,0.6,0.82,0.6,0.88,0.91,0.64,0.74,0.68,0.83,0.89,0.53,0.53,0.67,0.89
wow-qrsk.csv,0.79,0.78,0.67,0.63,0.71,0.75,0.89,0.54,0.85,0.82,0.73,0.61,0.5,0.64,0.86
