,fbmanager.csv,psycle.csv,qgis.csv,emeraldemu.csv,bochs.csv,bl-toolkit.csv,unimrcp.csv,sbml.csv,wow-qrsk.csv,plplot.csv,openmalaria.csv,modellus.csv,ardour.csv,powerfolder.csv,pi-qmc.csv
ardour.csv,0.63,0.61,0.57,0.47,0.74,0.71,0.81,0.68,0.47,0.63,0.82,0.63,0.05,0.36,0.69
bl-toolkit.csv,0.75,0.74,0.56,0.8,0.74,0.0,0.95,0.91,0.72,0.61,0.56,0.5,0.63,0.66,0.98
bochs.csv,0.71,0.6,0.77,0.58,0.08,0.59,0.67,0.53,0.55,0.74,0.58,0.6,0.49,0.58,0.37
emeraldemu.csv,0.74,0.77,0.71,0.02,0.78,0.89,0.85,0.7,0.52,0.74,0.76,0.85,0.55,0.65,0.77
fbmanager.csv,0.03,0.63,0.68,0.53,0.84,0.91,0.55,0.49,0.53,0.55,0.64,0.8,0.47,0.64,0.65
modellus.csv,0.67,0.67,0.52,0.5,0.47,0.56,0.33,0.62,0.41,0.6,0.54,0.03,0.59,0.95,0.72
openmalaria.csv,0.51,0.42,0.64,0.68,0.68,0.6,0.48,0.52,0.57,0.58,0.02,0.76,0.64,0.42,0.44
pi-qmc.csv,0.88,0.74,0.6,0.62,0.67,0.64,0.96,0.65,0.57,0.47,0.51,0.46,0.53,0.29,0.09
plplot.csv,0.7,0.75,0.75,0.7,0.82,0.63,0.6,0.85,0.82,0.1,0.72,0.57,0.77,0.93,0.64
powerfolder.csv,1.0,1.0,1.0,0.99,0.99,0.98,1.0,1.0,0.99,1.0,1.0,0.91,0.99,0.0,1.0
psycle.csv,0.56,0.05,0.69,0.74,0.81,0.66,0.76,0.72,0.58,0.56,0.72,0.64,0.74,0.96,0.82
qgis.csv,0.66,0.54,0.04,0.47,0.57,0.62,0.56,0.5,0.49,0.49,0.67,0.53,0.48,0.38,0.56
sbml.csv,0.66,0.59,0.68,0.7,0.93,0.6,0.52,0.03,0.67,0.45,0.53,0.55,0.63,0.87,0.38
unimrcp.csv,0.77,0.67,0.72,0.51,0.79,0.85,0.01,0.7,0.57,0.77,0.81,0.56,0.63,0.23,0.73
wow-qrsk.csv,0.68,0.63,0.6,0.48,0.61,0.73,0.76,0.58,0.06,0.72,0.63,0.55,0.5,0.49,0.77
