,etics.csv,arianne.csv,linuxsh.csv,openmeetings.csv,scite-ru.csv,ifmo-game-1.csv,mvdsv.csv,plato.csv,flexpay.csv,vrjuggler.csv,projecteqemu.csv,uclmda.csv,jcl.csv,chrysalis.csv
arianne.csv,0.74,0.02,0.84,0.57,0.9,0.68,1.06,0.72,0.74,0.62,0.81,0.53,0.56,0.77
chrysalis.csv,0.85,0.93,0.91,0.6,0.95,1.0,0.67,0.71,0.94,1.0,1.0,0.58,0.72,0.04
etics.csv,0.08,0.74,0.65,0.52,0.69,0.56,0.38,0.93,0.74,0.78,0.6,1.01,0.65,0.9
flexpay.csv,0.86,0.89,0.91,0.74,0.87,0.76,1.09,0.78,0.11,0.73,0.99,1.05,0.81,0.72
ifmo-game-1.csv,1.0,0.98,1.0,0.95,0.91,0.0,1.0,1.01,1.0,1.0,0.78,1.0,0.79,1.0
jcl.csv,0.72,0.89,0.75,0.93,0.64,1.01,0.72,0.98,0.96,0.82,0.7,1.0,0.36,0.9
linuxsh.csv,0.67,0.88,0.09,1.0,0.95,0.86,1.01,0.87,0.78,1.0,0.77,0.74,0.86,0.85
mvdsv.csv,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.94,1.0,1.0,1.0
openmeetings.csv,0.56,0.82,0.74,0.05,0.76,0.64,0.69,0.99,0.72,0.57,0.52,0.49,0.59,0.72
plato.csv,0.86,0.61,0.82,0.46,0.79,0.74,1.01,0.0,0.76,0.59,0.75,0.34,0.88,0.72
projecteqemu.csv,0.62,0.83,0.84,0.51,0.62,0.88,0.14,0.87,0.82,0.89,0.08,1.01,0.52,0.87
scite-ru.csv,0.98,0.86,0.62,0.8,0.06,0.64,0.68,0.91,0.89,0.91,0.63,1.02,0.97,0.83
uclmda.csv,0.92,0.72,0.63,0.5,0.69,1.01,0.82,0.8,0.62,0.88,0.73,0.0,0.69,0.77
vrjuggler.csv,0.98,0.93,0.69,0.99,0.74,0.72,0.51,0.88,0.92,0.0,0.81,1.1,0.78,0.9
