,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.68,0.39,0.83,1.1,0.59,0.64,0.74,0.69,0.68,0.43,0.64,0.8,0.76,0.65
continuum-ide.csv,0.5,0.89,0.73,1.01,0.05,0.61,0.62,0.37,1.0,0.96,0.83,1.01,0.76,0.9
free-evolution.csv,0.48,0.54,0.55,0.76,0.69,0.3,0.7,0.91,0.56,0.6,0.51,0.78,0.74,1.0
gtad.csv,0.15,0.86,0.57,0.91,0.34,0.6,0.63,0.73,0.83,0.74,0.77,1.03,0.75,0.85
jaxen.csv,0.85,1.01,0.66,0.37,1.34,0.1,0.78,0.87,0.63,0.9,0.67,0.71,0.85,0.8
jruby.csv,0.51,0.71,0.82,0.81,1.31,0.78,0.96,0.95,0.92,0.98,0.8,0.84,0.54,0.96
jsr308-langtools.csv,0.49,0.37,0.59,0.61,1.23,0.58,0.12,0.68,0.66,0.56,0.67,0.89,0.77,0.51
kaffeine.csv,0.94,0.19,0.5,1.06,0.54,0.52,0.9,0.77,0.94,0.68,0.67,0.94,0.79,0.71
oorexx.csv,1.0,0.57,0.5,0.47,1.16,1.0,0.47,1.0,0.54,0.96,0.6,0.79,0.9,0.42
qedo.csv,1.03,1.05,0.92,1.01,1.0,1.01,0.87,0.53,0.76,0.86,0.78,0.29,0.96,0.69
sarasvati.csv,0.52,0.86,0.41,0.96,0.31,0.79,0.39,0.62,0.91,0.55,0.66,0.88,0.78,0.88
taokgame.csv,0.57,0.94,0.92,0.11,1.02,1.02,0.84,0.84,0.62,0.85,0.82,1.0,0.95,0.75
zabbix.csv,0.63,0.51,0.58,0.83,1.0,0.66,0.42,0.83,0.62,0.8,0.63,0.96,0.67,0.75
