,gtad.csv,kaffeine.csv,sarasvati.csv,taokgame.csv,scen-connect.csv,jaxen.csv,jsr308-langtools.csv,continuum-ide.csv,zabbix.csv,carabiner.csv,free-evolution.csv,qedo.csv,jruby.csv,oorexx.csv
carabiner.csv,0.36,0.4,0.85,0.41,0.41,0.41,0.7,0.27,0.4,0.5,0.4,0.34,0.47,0.4
continuum-ide.csv,0.5,0.92,0.93,0.92,0.75,0.83,0.48,0.38,0.0,0.67,0.95,0.44,0.47,0.88
free-evolution.csv,0.44,0.5,0.46,0.38,0.47,0.55,0.37,0.3,0.69,0.4,0.58,0.38,0.43,0.38
gtad.csv,0.77,0.86,0.64,0.79,0.5,0.86,0.55,0.47,0.91,0.75,0.68,0.55,0.59,0.8
jaxen.csv,0.4,0.44,0.58,0.76,0.39,0.85,0.49,0.39,0.95,0.48,0.72,0.7,0.47,0.43
jruby.csv,0.89,0.7,0.68,0.47,0.44,0.48,0.46,0.34,0.42,0.41,0.86,0.54,0.58,0.38
jsr308-langtools.csv,0.38,0.39,0.46,0.45,0.41,0.43,0.37,0.29,0.47,0.46,0.48,0.66,0.47,0.54
kaffeine.csv,0.33,0.36,0.45,0.45,0.41,0.4,0.42,0.28,0.31,0.5,0.43,0.33,0.43,0.37
oorexx.csv,0.0,0.43,0.48,0.85,0.47,0.0,0.59,0.5,0.68,0.67,0.48,0.87,0.94,0.41
qedo.csv,0.94,0.7,0.96,0.93,0.67,0.89,0.92,0.65,0.82,0.75,0.7,0.79,0.88,0.75
sarasvati.csv,0.33,0.86,0.68,0.64,0.65,0.42,0.42,0.39,0.37,0.59,0.67,0.37,0.53,0.89
taokgame.csv,0.8,0.67,0.96,0.95,0.92,0.94,0.91,0.89,0.67,0.93,0.89,0.95,0.88,0.8
zabbix.csv,0.38,0.46,0.81,0.67,0.75,0.83,0.41,0.88,0.72,0.93,0.47,0.43,0.59,0.65
