,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.46,0.58,0.5,0.41,0.43,0.61,0.97,0.99,0.42,0.53,0.61,0.74,0.56,0.46,0.47
autowikibrowser.csv,0.5,0.7,0.69,0.65,0.69,0.56,1.01,0.52,0.6,0.32,0.63,0.68,0.42,0.53,0.55
biodwh.csv,0.58,0.79,0.66,0.52,0.61,0.54,0.93,0.91,0.6,0.55,0.84,0.68,0.69,0.21,0.46
cities3d.csv,0.62,0.74,0.68,0.41,0.98,0.8,0.97,0.93,0.75,0.84,1.0,0.77,0.55,0.59,1.0
dynalloy.csv,0.81,0.34,0.72,0.56,0.68,0.64,0.49,1.04,0.84,0.93,0.84,0.93,0.64,0.67,0.65
enzo.csv,0.86,0.79,0.89,0.97,1.02,0.93,1.02,0.55,1.0,0.29,0.91,0.86,0.93,0.92,0.86
genecys.csv,0.78,0.88,0.73,0.71,0.47,0.86,0.96,0.51,0.92,1.01,0.84,0.91,0.69,0.94,0.95
kmatplot.csv,0.31,0.75,0.72,0.57,0.84,0.96,0.94,0.94,0.91,1.0,0.9,0.94,0.77,0.67,0.55
modplug.csv,0.89,0.78,0.77,0.88,0.89,0.82,0.99,0.95,0.32,0.59,0.91,0.83,0.96,0.78,0.91
nabu-library.csv,0.67,0.75,0.81,1.0,0.94,0.61,0.63,0.31,0.47,0.93,0.73,1.0,0.85,1.02,0.64
natpad.csv,0.43,0.91,0.59,0.47,0.64,0.49,0.78,0.41,0.66,0.9,0.65,0.89,0.74,0.77,0.43
nebuladevice.csv,0.77,0.82,0.79,0.9,0.93,0.97,0.97,0.72,0.97,0.81,1.0,0.32,0.73,0.84,1.0
ossbuild.csv,0.74,0.6,0.62,0.65,0.8,0.71,0.34,0.96,0.64,0.84,0.57,0.94,0.73,0.7,0.68
xemeiah.csv,0.6,0.92,0.63,0.38,0.39,0.35,0.83,0.89,0.43,0.87,0.7,0.69,0.6,0.92,0.47
xined.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34,1.0,1.0,1.0,1.0
