,kmatplot.csv,dynalloy.csv,applet2app.csv,cities3d.csv,genecys.csv,xemeiah.csv,ossbuild.csv,nabu-library.csv,modplug.csv,enzo.csv,xined.csv,nebuladevice.csv,autowikibrowser.csv,biodwh.csv,natpad.csv
applet2app.csv,0.76,0.5,0.62,0.73,0.73,0.42,0.66,0.33,0.58,0.7,0.8,0.4,0.61,0.75,0.88
autowikibrowser.csv,0.83,0.52,0.82,0.7,0.6,0.54,0.31,0.62,0.75,0.84,0.6,0.87,0.73,0.92,0.72
biodwh.csv,0.45,0.21,0.39,0.49,0.48,0.46,0.19,0.09,0.44,0.47,0.2,0.4,0.32,0.92,0.63
cities3d.csv,0.41,0.33,0.63,0.7,0.02,0.21,0.03,0.09,0.25,0.16,0.0,0.8,0.45,0.75,0.0
dynalloy.csv,0.62,0.81,0.69,0.76,0.89,0.7,0.81,0.22,0.4,0.52,0.9,0.4,0.52,0.42,0.6
enzo.csv,0.93,0.73,0.87,0.97,0.82,0.82,0.5,0.99,0.95,0.84,0.7,1.0,0.89,1.0,0.81
genecys.csv,0.55,0.87,0.69,0.92,0.84,0.94,1.0,0.73,0.89,0.89,1.0,0.87,0.45,1.0,0.98
kmatplot.csv,0.79,0.35,0.75,0.92,0.19,0.04,0.06,0.06,0.09,0.0,0.1,1.0,0.32,0.58,0.47
modplug.csv,0.97,0.85,0.86,0.97,0.97,0.88,1.0,0.84,0.76,0.48,1.0,0.6,1.0,0.67,0.98
nabu-library.csv,0.72,0.46,0.24,0.0,0.06,0.76,0.5,0.87,0.6,0.7,0.3,0.0,0.27,0.0,0.47
natpad.csv,0.66,0.85,0.6,0.54,0.4,0.87,0.53,0.65,0.36,0.36,0.6,0.13,0.27,0.58,0.74
nebuladevice.csv,0.24,0.19,0.34,0.14,0.18,0.03,0.03,0.52,0.04,0.2,0.0,0.8,0.3,0.17,0.0
ossbuild.csv,0.72,0.69,0.52,0.76,0.81,0.69,0.75,0.37,0.36,0.17,0.9,0.07,0.91,0.33,0.35
xemeiah.csv,0.79,0.88,0.72,0.78,0.79,0.79,0.53,0.7,0.65,0.52,0.9,0.4,0.43,0.92,0.86
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
