,n2cms.csv,maidsafe-dht.csv,nug.csv,nassp.csv
maidsafe-dht.csv,0.83,0.8,0.73,0.75
n2cms.csv,0.61,0.46,0.4,0.41
nassp.csv,0.84,0.6,0.88,0.75
nug.csv,0.52,0.68,0.81,0.65
