,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,jcl.csv,quantlib.csv
chipster.csv,91.0,5.0,0.0,69.0,1.0,2.0,33.0,0.0,0.0,118.0
fontforge.csv,1.0,0.0,1.0,0.0,2.0,4.0,50.0,0.0,7.0,4.0
hatari.csv,0.0,0.0,0.0,0.0,2.0,4.0,41.0,12.0,7.0,3.0
jcl.csv,1.0,10.0,1.0,0.0,1.0,1.0,36.0,7.0,2.0,13.0
ltp.csv,0.0,1.0,0.0,0.0,1.0,8.0,44.0,1.0,7.0,3.0
net-snmp.csv,0.0,1.0,2.0,3.0,0.0,12.0,14.0,8.0,23.0,0.0
opde.csv,1.0,9.0,1.0,0.0,2.0,4.0,16.0,1.0,7.0,5.0
powerfolder-.csv,1.0,3.0,2.0,1.0,1.0,5.0,15.0,1.0,10.0,1.0
quantlib.csv,1.0,1.0,64.0,69.0,2.0,11.0,52.0,1.0,7.0,8.0
