,awemud.csv,go.csv,kwave.csv,lsb.csv,dvd-create.csv,bullet.csv,qcad2.csv,gbif-indexingtoolkit.csv,qtwin.csv,mpgravity.csv,customwars.csv,xinity.csv,gss.csv,linux-ntfs.csv,growl-for-windows.csv,libarchive.csv
awemud.csv,0.01,0.65,0.67,0.77,0.48,0.76,0.59,0.5,0.53,1.0,0.61,0.63,0.7,0.68,0.65,0.53
bullet.csv,0.99,0.59,0.94,0.49,0.47,0.05,0.89,0.85,0.86,1.01,0.64,0.78,0.78,1.0,0.8,0.57
customwars.csv,0.78,0.83,1.0,0.76,0.76,0.88,0.74,0.52,0.34,0.83,0.24,0.68,0.82,0.64,0.48,0.65
dvd-create.csv,0.79,0.74,0.72,0.84,0.0,0.72,0.78,0.74,0.85,0.77,0.78,0.76,0.54,0.87,0.62,0.79
gbif-indexingtoolkit.csv,0.95,0.98,0.88,0.87,0.91,0.84,0.92,0.18,1.0,1.0,0.77,0.93,0.93,0.92,0.84,0.98
go.csv,0.63,0.01,0.65,0.5,0.51,0.59,0.64,0.77,0.54,0.83,0.85,0.59,0.79,0.74,0.71,0.55
growl-for-windows.csv,0.56,0.53,0.79,0.9,0.73,0.68,0.68,0.67,0.57,0.42,0.6,0.82,0.53,0.65,0.06,0.48
gss.csv,0.84,0.74,0.82,0.43,0.47,0.93,0.57,0.68,0.69,0.98,0.68,0.68,0.03,0.71,0.74,0.59
kwave.csv,0.62,0.85,0.12,0.69,0.85,0.74,0.68,0.64,0.91,0.79,0.72,0.7,0.6,0.78,0.81,0.91
libarchive.csv,0.5,0.62,0.66,0.85,0.62,0.54,0.45,0.54,0.44,0.92,0.65,0.83,0.44,0.58,0.43,0.02
linux-ntfs.csv,0.63,0.7,0.94,0.87,0.75,0.77,0.6,0.52,0.21,1.0,0.5,0.79,0.64,0.05,0.78,0.61
lsb.csv,0.53,0.66,0.7,0.25,0.56,0.67,0.77,0.57,0.39,1.0,0.76,0.8,0.44,0.49,0.63,0.49
mpgravity.csv,0.5,0.65,0.91,0.89,0.79,0.91,0.67,0.75,0.76,0.0,0.59,0.77,0.65,0.6,0.43,0.73
qcad2.csv,0.72,0.66,0.74,0.54,0.96,0.83,0.01,0.71,0.72,0.79,0.62,0.64,0.47,0.67,0.83,0.63
qtwin.csv,0.95,1.0,1.0,1.01,1.0,1.0,0.94,0.91,0.33,1.0,0.95,1.0,0.97,1.0,0.72,0.94
xinity.csv,0.67,0.76,0.79,1.0,0.81,0.74,0.71,0.66,0.58,1.0,0.77,0.05,0.75,0.81,0.7,0.83
