,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,projectfactory.csv,amygdala.csv,runuomondains.csv,somap.csv,tigermud.csv,chrysalis.csv,duplicati.csv,hydrate.csv,cme.csv
algebsql.csv,0.2,0.18,0.29,0.7,0.74,0.04,1.0,0.14,0.05,0.37,0.25,0.06,0.29,0.04,0.17,0.18,0.4
amygdala.csv,0.46,0.39,0.19,0.63,0.33,0.06,0.12,0.14,0.18,1.0,0.25,0.35,0.34,0.11,0.21,0.18,0.0
chrysalis.csv,0.41,0.35,0.14,0.33,0.07,0.09,0.0,0.36,0.05,0.11,0.25,0.08,0.06,1.0,0.26,0.21,0.2
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hydrate.csv,0.23,0.16,0.3,0.03,0.33,0.0,0.06,0.95,0.13,0.21,0.88,0.26,0.43,0.15,0.4,1.0,0.8
ivef-sdk.csv,0.76,0.59,0.56,1.0,0.74,1.0,0.27,0.0,0.72,0.66,0.12,0.58,0.2,0.19,0.66,0.03,0.4
jmri.csv,0.63,0.42,0.94,0.73,0.59,0.58,0.33,0.68,0.31,0.82,0.25,0.22,0.71,0.67,0.59,0.52,1.0
jython.csv,0.52,0.45,0.41,0.33,0.63,0.28,0.36,0.95,0.26,0.29,0.88,0.44,0.66,0.26,0.53,0.52,1.0
kdenlive.csv,0.96,0.7,0.45,0.33,0.19,0.61,0.15,0.77,0.72,0.39,0.88,0.47,0.31,0.52,0.33,0.61,0.6
opentibia.csv,0.89,1.0,0.47,1.0,0.44,0.96,0.94,0.82,0.44,0.89,0.75,0.44,0.86,0.59,0.26,0.58,0.0
projectfactory.csv,0.28,0.37,0.32,0.4,0.37,0.09,0.18,0.73,1.0,0.18,0.62,0.32,0.63,0.22,0.34,0.48,0.4
runuomondains.csv,0.01,0.08,0.03,0.3,0.04,0.07,0.0,0.32,0.03,0.03,0.88,0.12,0.0,0.07,0.02,0.27,0.0
somap.csv,1.0,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0
taverna.csv,0.14,0.23,0.2,0.4,0.96,0.03,0.03,0.18,0.36,0.18,0.12,0.26,0.31,0.19,0.21,0.09,0.0
tigermud.csv,0.79,0.75,0.62,0.93,0.78,1.0,0.91,0.73,0.74,0.92,0.38,0.61,0.97,0.63,0.48,0.48,1.0
x-ray-mule.csv,0.35,0.34,0.16,1.0,0.48,0.0,0.67,0.05,0.56,0.55,0.12,0.5,0.14,0.19,0.03,0.15,0.8
