,kdenlive.csv,opentibia.csv,jmri.csv,x-ray-mule.csv,taverna.csv,ivef-sdk.csv,algebsql.csv,jython.csv,projectfactory.csv,amygdala.csv,runuomondains.csv,somap.csv,tigermud.csv,chrysalis.csv,duplicati.csv,hydrate.csv,cme.csv
algebsql.csv,0.24,0.21,0.33,0.65,0.73,0.05,1.0,0.17,0.06,0.41,0.29,0.07,0.33,0.05,0.2,0.21,0.44
amygdala.csv,0.49,0.44,0.22,0.52,0.37,0.07,0.14,0.17,0.21,1.0,0.29,0.39,0.35,0.13,0.25,0.21,0.0
chrysalis.csv,0.46,0.39,0.17,0.34,0.09,0.11,0.0,0.41,0.06,0.13,0.29,0.1,0.07,1.0,0.31,0.25,0.24
cme.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
hydrate.csv,0.27,0.19,0.34,0.04,0.37,0.0,0.07,0.27,0.16,0.25,0.76,0.3,0.47,0.18,0.45,0.98,0.76
ivef-sdk.csv,0.66,0.62,0.53,0.73,0.6,1.0,0.28,0.0,0.53,0.62,0.15,0.0,0.23,0.22,0.0,0.04,0.41
jmri.csv,0.53,0.44,0.95,0.74,0.58,0.39,0.35,0.7,0.35,0.66,0.28,0.24,0.39,0.62,0.0,0.53,0.77
jython.csv,0.51,0.46,0.45,0.36,0.62,0.32,0.37,0.96,0.3,0.33,0.78,0.45,0.55,0.3,0.58,0.52,0.73
kdenlive.csv,0.97,0.67,0.48,0.31,0.22,0.59,0.18,0.09,0.59,0.42,0.76,0.5,0.34,0.54,0.38,0.59,0.57
opentibia.csv,0.62,1.0,0.46,0.21,0.46,0.95,0.82,0.79,0.46,0.73,0.54,0.5,0.65,0.57,0.31,0.5,0.0
projectfactory.csv,0.31,0.41,0.36,0.43,0.4,0.1,0.21,0.75,1.0,0.21,0.64,0.32,0.0,0.25,0.0,0.51,0.42
runuomondains.csv,0.01,0.1,0.04,0.35,0.05,0.09,0.0,0.37,0.04,0.04,0.9,0.15,0.0,0.09,0.02,0.31,0.0
somap.csv,0.0,0.0,0.13,0.0,0.17,0.0,0.0,0.0,0.27,0.0,0.0,0.99,0.0,0.24,0.0,0.0,0.17
taverna.csv,0.17,0.27,0.23,0.44,0.97,0.04,0.04,0.22,0.4,0.21,0.14,0.3,0.34,0.22,0.25,0.11,0.0
tigermud.csv,0.43,0.54,0.56,0.46,0.64,0.79,0.61,0.75,0.62,0.61,0.34,0.52,0.97,0.62,0.54,0.48,0.62
x-ray-mule.csv,0.39,0.39,0.19,1.0,0.51,0.0,0.65,0.06,0.5,0.58,0.15,0.5,0.17,0.22,0.04,0.18,0.83
