,id,expected,max_bell,avge,median,bellwether,size
57,2,1,2,1.5,0.6,mclient-mume.csv,2
52,3,6,7,3.44,0.99,jam-daq.csv,9
50,4,7,10,4.5,0.95,sidekar.csv,12
58,5,1,1,1.0,0.28500000000000003,matrex.csv,2
24,6,8,13,4.77,1.0,jchassis.csv,13
19,7,7,12,5.75,0.605,servicestack.csv,12
28,8,7,12,6.67,0.62,jbpm.csv,12
17,9,5,8,2.5,0.915,forester-atv.csv,8
18,11,1,1,1.0,0.22,atunes.csv,1
53,12,2,3,2.5,0.43,emftriple.csv,4
59,14,3,5,2.6,0.72,empyrean.csv,5
51,15,2,1,1.0,0.65,unflobtactical.csv,3
21,16,2,3,1.33,0.51,jnode.csv,3
26,17,4,6,3.33,0.905,massiv.csv,6
16,18,9,11,5.79,0.845,ifmo-game-1.csv,14
27,19,2,2,1.25,0.685,qmmp.csv,4
15,20,7,11,4.67,0.88,lportal.csv,12
29,21,6,10,6.4,0.88,foursquared.csv,10
60,22,7,9,4.08,0.88,wxstudio.csv,13
49,23,12,18,8.42,0.985,jgameai.csv,20
25,28,3,5,3.6,0.46,encog-java.csv,5
20,29,6,9,3.3,0.8200000000000001,fido.csv,10
39,30,2,3,2.0,0.41,exordium.csv,3
34,31,10,16,7.5,0.925,cme.csv,16
6,32,11,18,9.17,0.93,avisynth2.csv,19
14,33,6,7,3.44,1.0,ondex.csv,9
7,35,8,10,6.38,0.77,levent.csv,13
33,36,6,9,5.5,0.6799999999999999,ftm.csv,10
40,37,8,13,6.15,0.73,omseek.csv,13
32,38,12,20,11.45,0.96,reaper-ecad.csv,20
41,39,7,10,4.64,1.0,sepgsql.csv,11
55,40,7,10,5.25,1.0,agilitybook.csv,13
46,41,6,9,3.7,0.955,nosleepsoftware.csv,10
22,42,5,6,3.5,0.76,badtrinitycore.csv,8
31,43,8,12,7.23,0.49,etics.csv,13
30,44,4,6,3.57,0.56,genoviz.csv,7
23,45,9,11,7.07,0.9,bulmages.csv,14
45,46,6,8,2.8,0.88,liferea.csv,10
56,47,5,6,4.38,0.73,jcae.csv,8
47,48,4,4,2.5,0.75,zoolib.csv,6
54,49,4,6,4.14,0.68,kindb.csv,7
3,50,9,15,6.73,0.88,xined.csv,15
10,51,12,15,8.58,0.83,uclmda.csv,19
38,53,1,1,1.0,0.3,xcf.csv,1
37,54,6,6,2.89,0.98,chipster.csv,10
42,55,9,12,6.79,0.94,qcad2.csv,15
9,56,2,2,1.33,0.83,x4x.csv,3
5,57,12,17,9.05,1.0,poormans.csv,20
11,58,7,10,5.0,0.96,jicarilla.csv,11
1,59,1,2,1.5,0.32,jrdf.csv,2
13,60,11,14,6.0,1.0,opennms.csv,20
0,61,6,9,3.5,0.885,vrjuggler.csv,10
36,62,1,1,1.0,0.26,silvertree.csv,1
43,63,12,20,8.95,0.88,tcvp.csv,20
44,64,6,4,2.3,0.92,stajistics.csv,10
35,65,4,7,3.0,0.99,mecat.csv,7
2,66,9,12,6.64,0.73,brlcad.csv,14
12,67,7,11,5.64,0.9,alembik.csv,11
4,68,12,20,7.2,0.9299999999999999,customsagetv.csv,20
8,69,9,9,5.0,0.9299999999999999,ta3d.csv,14
48,70,4,6,4.0,0.98,mvdsv.csv,7
