,id,count_f1,count_g,count_recall,count_precision,count_pf,count_pci_20,cdom_score,bellwether
57,2,1,1,1,2,2,2,1,mclient-mume.csv
52,3,1,4,5,3,5,6,8,chrysalis.csv
50,4,1,3,8,1,2,8,11,beast-mcmc.csv
58,5,1,1,1,1,1,2,1,matrex.csv
24,6,6,3,11,3,0,7,12,freelords.csv
19,7,2,3,5,3,4,8,11,synecdoche.csv
28,8,2,4,7,2,8,12,11,joustsim.csv
17,9,5,1,5,4,0,7,7,gephex.csv
18,11,0,1,1,0,1,1,0,atunes.csv
53,12,1,3,3,1,2,3,3,gpsmid.csv
59,14,2,2,1,2,2,5,4,gnome-jabber.csv
51,15,2,1,3,2,1,2,2,unflobtactical.csv
21,16,0,0,1,0,0,3,2,tradelink.csv
26,17,2,5,6,2,3,3,5,ultimairis.csv
16,18,3,3,5,3,5,14,13,lmms.csv
27,19,2,2,3,2,2,4,3,multitude.csv
15,20,0,1,2,4,8,10,11,openmeetings.csv
29,21,2,2,4,3,5,9,9,ng4j.csv
60,22,3,4,10,4,3,8,11,psycle.csv
49,23,4,7,12,5,3,12,18,vars-redux.csv
25,28,1,1,2,0,1,5,4,bochs.csv
20,29,2,1,2,4,7,8,9,geogebra.csv
39,30,1,2,2,1,1,1,2,google-caja.csv
34,31,4,6,9,4,3,5,15,kdenlive.csv
6,32,9,8,15,6,3,6,17,uface.csv
14,33,0,3,4,3,4,6,8,unbvision.csv
7,35,2,5,6,4,4,4,12,heekscad.csv
33,36,4,3,8,3,3,6,9,lphant.csv
40,37,3,4,4,6,9,12,12,ktc.csv
32,38,2,8,9,9,13,11,19,jahshakafx.csv
41,39,6,6,7,6,6,9,10,olap-navigator.csv
55,40,2,2,5,3,8,11,11,apolloplayer.csv
46,41,2,3,3,4,7,8,9,riff-evolve.csv
22,42,2,4,4,2,6,5,7,adaptagrams.csv
31,43,3,7,8,4,5,10,12,boost.csv
30,44,2,5,6,2,2,7,6,passwordsafe.csv
23,45,1,5,5,5,8,9,13,n2cms.csv
45,46,3,4,7,3,1,4,9,clamav.csv
56,47,0,4,4,2,7,7,7,acdk.csv
47,48,2,0,2,3,2,6,5,google-web-toolkit.csv
54,49,1,3,3,3,6,5,6,kindb.csv
3,50,4,7,8,4,6,11,14,applet2app.csv
10,51,10,10,15,10,3,13,18,reactos-mirror.csv
38,53,1,1,1,1,1,1,0,xcf.csv
37,54,1,2,7,1,4,5,8,powerfolder-.csv
42,55,4,7,6,6,9,9,13,moving-pictures.csv
9,56,2,1,3,2,1,1,2,rectracker.csv
5,57,1,6,12,2,4,13,18,anaxagora.csv
11,58,0,1,1,2,3,11,10,haphazard.csv
1,59,0,1,1,0,2,2,1,jrdf.csv
13,60,6,3,13,7,5,9,17,geotools.csv
0,61,3,2,6,3,1,4,9,xuggle.csv
36,62,1,1,1,1,1,1,0,silvertree.csv
43,63,7,9,15,5,3,10,19,rebecca-aiml.csv
44,64,3,4,6,2,4,5,9,stajistics.csv
35,65,3,2,5,4,1,5,6,mb-unit.csv
2,66,3,5,8,4,7,13,13,fltk.csv
12,67,3,1,4,5,2,9,10,cascading.csv
4,68,6,3,7,9,9,17,19,zildo.csv
8,69,4,2,6,7,6,12,13,ogrehg.csv
48,70,2,4,4,1,2,5,5,l2j.csv
