,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,jcl.csv,quantlib.csv
chipster.csv,0.5,0.5,0.42,0.36,0.51,0.95,0.06,0.22,0.25,0.0
fontforge.csv,0.3,0.45,0.38,0.27,0.54,0.42,0.12,0.96,0.29,0.09
hatari.csv,0.57,0.51,0.95,0.49,0.79,0.54,0.08,0.55,0.07,0.21
jcl.csv,0.08,0.39,0.0,0.19,0.05,0.09,0.0,0.0,0.96,0.13
ltp.csv,0.44,0.37,0.45,0.4,0.98,0.46,0.08,0.33,0.29,0.35
net-snmp.csv,0.99,0.55,0.44,0.32,0.6,0.38,0.18,0.57,0.3,0.23
opde.csv,0.55,0.48,0.57,0.89,0.63,0.48,0.07,0.3,0.22,0.2
powerfolder-.csv,0.32,1.0,0.24,0.18,0.18,0.26,0.33,0.49,0.26,0.12
quantlib.csv,0.24,0.39,0.18,0.12,0.11,0.49,0.17,0.53,0.21,0.96
