,jlinalg.csv,psycle.csv,superwaba.csv,wxcrp.csv,fritzing.csv,arianne.csv,playerstage.csv,knowledge.csv,bl-toolkit.csv,gnukeda.csv,enlightenment.csv,massiv.csv,alsa.csv,amateur-scrolls.csv,doomlegacy.csv
alsa.csv,0.35,0.21,0.18,0.39,0.21,0.37,0.42,0.36,0.41,0.26,0.48,0.03,0.99,0.17,0.38
amateur-scrolls.csv,0.49,0.18,0.43,0.13,0.51,0.42,0.22,0.51,0.56,0.05,0.34,0.05,0.31,0.97,0.22
arianne.csv,0.49,0.4,0.44,0.21,0.45,0.97,0.59,0.52,0.67,0.45,0.53,0.01,0.48,0.43,0.47
bl-toolkit.csv,0.75,0.5,0.48,0.47,0.57,0.51,0.62,0.76,0.99,0.52,0.43,0.02,0.7,0.56,0.54
doomlegacy.csv,0.6,0.66,0.47,0.52,0.46,0.55,0.59,0.79,0.65,0.65,0.73,0.01,0.71,0.41,1.0
enlightenment.csv,0.68,0.6,0.61,0.45,0.65,0.6,0.59,0.83,0.57,0.45,0.98,0.02,0.6,0.4,0.63
fritzing.csv,0.56,0.64,0.65,0.4,0.98,0.44,0.62,0.86,0.73,0.52,0.65,0.04,0.56,0.35,0.46
gnukeda.csv,0.93,0.67,0.55,0.36,0.62,0.56,0.58,0.79,0.5,0.99,0.54,0.02,0.35,0.39,0.72
jlinalg.csv,0.98,0.8,0.56,0.45,0.65,0.69,0.58,0.94,0.83,0.69,0.69,0.02,0.77,0.49,0.85
knowledge.csv,0.56,0.75,0.34,0.37,0.35,0.49,0.58,0.99,0.81,0.65,0.7,0.02,0.77,0.47,0.8
massiv.csv,0.04,0.0,0.0,0.06,0.08,0.02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
playerstage.csv,0.54,0.5,0.52,0.43,0.69,0.36,0.98,0.73,0.39,0.39,0.58,0.03,0.38,0.37,0.53
psycle.csv,0.69,0.99,0.52,0.49,0.61,0.59,0.61,0.79,0.76,0.68,0.59,0.02,0.65,0.55,0.77
superwaba.csv,0.59,0.48,0.98,0.45,0.6,0.52,0.47,0.63,0.75,0.48,0.46,0.02,0.47,0.48,0.68
wxcrp.csv,0.75,0.37,0.53,0.97,0.64,0.59,0.39,0.27,0.41,0.21,0.41,0.02,0.53,0.15,0.27
