,x4x.csv,xharbour.csv,megasquirtavr.csv,atomsite.csv,hazelcast.csv,emisview.csv,trackit.csv,betoffice.csv,jitterbit.csv,wxlua.csv,bnetd.csv,jppf-project.csv,bionote.csv,kolmafia.csv,findbugs.csv,qedo.csv,stajistics.csv,elvishrayrenderer.csv
atomsite.csv,0.92,0.99,0.8,0.05,0.98,0.63,0.77,0.72,0.54,0.65,1.0,0.77,0.5,0.54,0.72,0.8,0.66,0.87
betoffice.csv,0.66,1.0,0.8,0.73,0.65,0.63,0.7,0.03,0.89,0.68,0.77,0.76,0.8,0.75,0.73,0.64,0.89,0.75
bionote.csv,0.92,1.0,0.63,0.95,0.87,1.0,1.0,0.96,0.81,0.99,1.0,0.96,0.0,0.96,0.89,0.87,1.0,0.94
bnetd.csv,0.85,0.74,0.48,0.57,0.42,0.75,0.82,0.81,0.62,0.61,0.03,0.88,0.78,0.62,0.95,0.89,0.69,0.67
elvishrayrenderer.csv,0.49,0.96,0.65,0.58,0.55,0.47,0.87,0.72,0.5,0.88,0.63,0.72,0.5,0.8,0.84,0.77,0.57,0.03
emisview.csv,0.94,0.93,1.0,0.68,0.91,0.04,1.01,0.96,0.93,0.99,1.0,0.93,0.75,0.76,0.9,1.0,0.87,0.97
findbugs.csv,0.89,0.88,0.98,0.83,1.05,0.81,0.57,0.76,0.66,0.93,0.71,0.79,0.4,0.79,0.0,0.94,0.82,0.81
hazelcast.csv,0.84,1.0,0.49,1.0,0.0,0.94,0.88,0.9,0.92,1.0,1.0,1.0,0.91,0.77,0.91,0.68,0.7,1.0
jitterbit.csv,0.66,0.99,0.87,0.72,0.77,0.65,0.87,0.98,0.04,0.65,0.61,0.68,0.88,0.56,0.46,1.03,0.66,0.71
jppf-project.csv,0.84,1.01,0.74,0.91,0.91,0.95,0.92,0.79,1.03,0.88,0.99,0.0,0.81,0.79,0.75,0.93,0.87,0.96
kolmafia.csv,0.75,0.63,0.76,0.55,0.65,0.51,0.96,0.69,0.58,0.86,0.87,0.49,0.49,0.06,0.6,0.77,0.6,0.68
megasquirtavr.csv,0.68,0.6,0.1,0.55,0.53,0.96,0.76,0.86,0.66,0.87,0.57,0.64,0.92,0.82,0.88,0.86,0.79,0.69
qedo.csv,0.93,0.84,0.97,0.97,0.98,1.0,0.88,1.0,0.99,0.94,1.0,0.94,1.0,0.98,0.93,0.05,1.0,1.04
stajistics.csv,0.55,0.91,0.57,0.5,0.4,0.51,0.82,0.95,0.67,1.09,0.94,0.58,0.61,0.6,0.83,0.94,0.07,0.67
trackit.csv,0.83,0.57,0.73,0.68,0.62,0.6,0.0,0.69,0.75,0.95,0.9,0.71,0.58,0.63,0.63,1.05,0.69,0.86
wxlua.csv,0.92,1.0,0.64,0.85,0.9,0.84,0.88,0.98,0.96,0.0,0.79,0.88,0.88,0.98,0.94,0.84,0.97,0.78
x4x.csv,0.0,0.76,0.75,0.94,0.81,0.71,0.96,0.64,0.85,0.72,0.79,1.02,0.9,0.87,0.89,0.65,0.86,0.83
xharbour.csv,1.0,0.0,0.77,0.76,0.8,0.73,0.96,0.89,0.89,0.68,1.0,0.6,0.91,0.94,0.88,0.74,0.93,0.9
