,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv,arm-webradio.csv
alleg.csv,0.77,0.5,0.71,0.49,0.42,0.64,0.9,0.52,0.37,0.57,0.46,0.36,0.51,0.63,0.43,0.52,0.53,0.75
arm-webradio.csv,0.58,0.63,0.92,0.67,0.48,0.61,0.86,0.94,0.36,0.46,0.67,0.72,0.85,0.68,0.45,0.5,0.7,0.71
bwapi.csv,0.45,0.48,0.43,0.5,0.54,0.42,0.36,0.39,0.95,0.6,0.36,0.5,0.43,0.46,0.83,0.64,0.46,0.68
co-ode-owl-plugins.csv,0.52,0.67,0.58,0.58,0.43,0.58,0.89,0.96,0.38,0.44,0.83,0.68,0.78,0.57,0.46,0.5,0.66,0.7
firebreath.csv,0.43,0.43,0.43,0.54,0.4,0.53,0.48,0.38,0.4,0.45,0.51,0.4,0.41,0.55,0.59,0.53,0.69,0.57
frogatto.csv,0.36,0.38,0.41,0.45,0.38,0.39,0.32,0.37,0.45,0.56,0.36,0.34,0.32,0.45,0.41,0.45,0.45,0.55
gretl.csv,0.47,0.49,0.48,0.68,0.41,0.52,0.43,0.49,0.52,0.42,0.58,0.42,0.48,0.48,0.41,0.55,0.48,0.47
jasperreports.csv,0.68,0.55,0.42,0.56,0.56,0.47,0.35,0.38,0.56,0.94,0.36,0.45,0.48,0.69,0.72,0.93,0.47,0.72
konversation.csv,0.56,0.82,0.52,0.86,0.52,0.46,0.75,0.73,0.74,0.47,0.6,0.63,0.79,0.59,0.88,0.75,0.71,0.89
linuxsh.csv,0.75,0.64,0.79,0.96,0.38,0.93,0.67,0.96,0.38,0.51,0.0,0.95,0.96,0.97,0.42,0.57,0.94,0.78
moviesandbox.csv,0.52,0.9,0.51,0.76,0.4,0.54,0.88,0.82,0.55,0.51,0.67,0.91,0.95,0.7,0.54,0.57,0.63,0.97
ontomorphtab.csv,0.43,0.44,0.43,0.47,0.41,0.41,0.37,0.37,0.37,0.44,0.36,0.43,0.45,0.37,0.42,0.57,0.4,0.56
opengs.csv,0.67,0.6,0.68,0.72,0.39,0.65,0.0,0.0,0.61,0.9,0.0,0.65,0.67,0.65,0.71,0.74,0.71,0.0
scite-ru.csv,0.47,0.43,0.58,0.57,0.4,0.49,0.64,0.57,0.48,0.5,0.41,0.49,0.54,0.46,0.45,0.48,0.48,0.57
tokratan.csv,0.53,0.52,0.62,0.71,0.4,0.59,0.5,0.86,0.78,0.67,0.62,0.4,0.45,0.52,0.86,0.83,0.68,0.61
vrjuggler.csv,0.54,0.0,0.71,0.89,0.71,0.92,0.88,0.89,0.93,0.94,0.54,0.92,0.86,0.68,0.47,0.66,0.75,0.91
wxcode.csv,0.55,0.73,0.57,0.83,0.67,0.78,0.69,0.67,0.0,0.89,0.81,0.51,0.46,0.59,0.67,0.89,0.67,0.71
xuggle.csv,0.5,0.4,0.58,0.62,0.36,0.44,0.36,0.51,0.45,0.58,0.54,0.44,0.37,0.46,0.44,0.5,0.55,0.42
