,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,vrjuggler.csv,gretl.csv,alleg.csv,jasperreports.csv,frogatto.csv,bwapi.csv,wxcode.csv,arm-webradio.csv
alleg.csv,0.69,0.18,0.24,0.16,0.55,0.41,0.1,0.23,0.45,0.07,0.15,0.85,0.77,0.06,0.52,0.68,0.12,0.38
arm-webradio.csv,0.62,0.24,0.31,0.13,0.63,0.49,0.43,0.71,0.41,0.08,0.0,0.88,0.55,0.05,0.55,0.76,0.03,0.67
bwapi.csv,0.6,0.13,0.12,0.1,0.51,0.38,0.29,0.06,0.35,0.11,0.21,0.82,0.59,0.05,0.57,0.93,0.1,0.16
co-ode-owl-plugins.csv,0.67,0.23,0.24,0.14,0.71,0.48,0.56,0.57,0.48,0.1,0.17,0.93,0.51,0.06,0.6,0.73,0.07,0.7
firebreath.csv,0.81,0.17,0.18,0.17,0.6,0.56,0.4,0.08,0.41,0.15,0.12,0.9,0.62,0.15,0.82,0.68,0.15,0.27
frogatto.csv,0.82,0.18,0.14,0.16,0.62,0.49,0.36,0.09,0.55,0.22,0.22,0.89,0.65,0.05,0.71,0.58,0.16,0.22
gretl.csv,0.75,0.14,0.15,0.19,0.57,0.37,0.28,0.21,0.38,0.11,0.15,0.89,0.65,0.11,0.53,0.8,0.07,0.47
jasperreports.csv,0.64,0.12,0.12,0.09,0.49,0.39,0.28,0.06,0.18,0.17,0.23,0.85,0.65,0.28,0.38,1.0,0.05,0.01
konversation.csv,0.72,0.24,0.37,0.22,0.78,0.52,0.33,0.24,0.3,0.11,0.19,0.92,0.57,0.12,0.75,0.8,0.04,0.78
linuxsh.csv,0.7,0.36,0.26,0.29,0.6,0.41,0.0,0.43,0.46,0.1,0.0,0.91,0.61,0.0,0.61,0.71,0.0,0.72
moviesandbox.csv,0.68,0.29,0.22,0.17,0.7,0.47,0.25,0.29,0.56,0.12,0.33,0.88,0.55,0.08,0.64,0.65,0.08,0.32
ontomorphtab.csv,0.86,0.17,0.12,0.13,0.57,0.4,0.29,0.09,0.47,0.13,0.21,0.83,0.62,0.11,0.51,0.85,0.08,0.27
opengs.csv,1.0,0.3,0.37,0.3,0.65,0.42,1.0,1.0,0.64,0.2,0.0,0.94,0.57,0.04,0.65,0.86,0.35,0.0
scite-ru.csv,0.67,0.2,0.13,0.13,0.63,0.41,0.45,0.21,0.55,0.14,0.24,0.86,0.59,0.05,0.59,0.77,0.11,0.27
tokratan.csv,0.76,0.23,0.29,0.25,0.67,0.43,1.0,0.14,0.81,0.26,0.21,0.9,0.62,0.08,0.86,0.94,0.24,0.2
vrjuggler.csv,0.68,0.0,0.29,0.22,0.65,0.58,0.38,0.36,0.4,0.15,0.29,0.75,0.86,0.02,0.53,0.7,0.0,0.73
wxcode.csv,0.91,0.0,0.33,0.22,0.53,0.52,0.56,0.33,0.0,0.56,0.25,0.94,0.69,0.19,1.0,1.0,0.33,0.02
xuggle.csv,0.77,0.19,0.21,0.3,0.62,0.44,0.39,0.12,0.55,0.17,0.12,0.89,0.66,0.05,0.63,0.78,0.23,0.36
