,werx.csv,plog4u.csv,fm-classic.csv,openxava.csv,vars-redux.csv,tcvp.csv,jcl.csv
fm-classic.csv,0.97,0.9,0.9,0.88,0.64,0.0,0.79
jcl.csv,0.52,0.8,0.88,0.8,0.37,0.76,0.53
openxava.csv,0.94,0.51,0.54,0.44,0.42,0.62,0.62
tcvp.csv,0.0,0.93,0.0,0.0,0.88,0.65,0.0
vars-redux.csv,0.55,0.46,0.31,0.49,0.44,0.52,0.37
werx.csv,0.37,0.41,0.3,0.5,0.38,0.36,0.35
