,plearn.csv,nsis.csv,aztec.csv,papertoolkit.csv,qdvdauthor.csv,tango-cs.csv
aztec.csv,0.92,0.67,0.95,0.9,0.5,0.56
nsis.csv,0.42,0.49,0.45,0.43,0.4,0.48
papertoolkit.csv,0.0,0.0,0.94,0.67,0.0,0.67
plearn.csv,0.73,0.62,0.6,0.42,0.54,0.58
qdvdauthor.csv,0.46,0.66,0.59,0.5,0.44,0.91
tango-cs.csv,0.83,0.93,0.43,0.68,0.94,0.61
