,plearn.csv,nsis.csv,aztec.csv,papertoolkit.csv,qdvdauthor.csv,tango-cs.csv
aztec.csv,0.0,0.07,0.91,0.0,0.05,0.35
nsis.csv,0.43,1.0,0.09,0.08,0.77,0.45
papertoolkit.csv,0.0,0.0,0.05,1.0,0.05,0.08
plearn.csv,0.92,0.82,0.13,0.04,0.58,0.45
qdvdauthor.csv,0.48,0.63,0.21,0.0,0.99,0.32
tango-cs.csv,0.38,0.28,0.14,0.21,0.32,0.97
