,adaptagrams.csv,olsrd.csv,electric-core.csv,badtrinitycore.csv,aime.csv,mumble.csv,t-2.csv,geochat.csv
adaptagrams.csv,0.33,0.28,0.48,0.49,0.46,0.52,0.85,0.9
aime.csv,0.67,0.74,0.77,1.0,0.41,0.82,0.92,0.91
badtrinitycore.csv,1.0,0.97,0.62,0.25,0.79,0.42,0.57,0.7
electric-core.csv,0.79,0.62,0.45,0.57,0.86,0.66,0.7,0.69
geochat.csv,0.79,1.0,0.94,1.06,0.81,0.88,0.97,0.54
mumble.csv,0.79,1.0,0.74,0.94,0.53,0.23,0.88,0.59
olsrd.csv,0.67,0.37,0.6,0.58,0.66,0.54,0.54,0.55
t-2.csv,0.78,0.81,0.77,0.73,0.84,0.56,0.38,0.72
