,go.csv,yale.csv,freebios.csv,vars-redux.csv,gnupdate.csv,alsa.csv,qse.csv,pgui.csv,pcsx2.csv,rebecca-aiml.csv,wxjs.csv,glelite.csv,ffigo.csv,gstreamer.csv,skia.csv,biopax.csv,metacosm.csv
alsa.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
biopax.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.27,1.0
ffigo.csv,0.59,1.0,0.75,1.0,1.0,1.0,1.0,0.98,0.58,0.88,1.16,1.0,0.46,1.0,1.0,0.9,1.0
freebios.csv,0.94,0.94,0.37,0.77,0.96,0.98,0.73,0.74,0.77,0.31,0.56,0.65,0.86,0.96,0.74,0.93,0.96
glelite.csv,1.0,1.0,1.0,0.7,0.8,1.0,0.91,1.0,1.0,1.0,1.0,0.33,1.0,1.0,0.68,1.0,1.0
gnupdate.csv,1.0,1.0,1.0,0.59,0.51,1.0,1.0,1.0,1.0,1.0,1.0,1.09,1.0,1.0,1.0,0.49,0.9
go.csv,0.44,1.0,0.99,1.0,1.0,1.0,1.0,1.0,0.47,0.98,1.0,1.0,0.68,0.69,1.0,1.0,1.0
gstreamer.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
metacosm.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35
pcsx2.csv,0.87,0.87,1.0,1.0,1.0,1.0,1.0,1.0,0.66,1.0,1.0,1.0,0.98,0.41,1.0,1.0,1.0
pgui.csv,1.0,1.0,1.0,0.93,0.88,1.0,0.43,0.58,1.0,1.0,0.77,1.0,1.0,1.0,0.57,1.0,1.0
qse.csv,1.0,1.0,1.0,0.85,0.85,1.0,0.18,0.94,1.0,1.0,1.0,1.0,1.0,1.0,0.72,1.0,1.0
rebecca-aiml.csv,0.89,1.0,0.84,1.0,1.0,1.0,1.0,0.98,0.93,0.37,0.63,0.99,0.87,1.0,0.93,1.0,1.0
skia.csv,0.79,0.94,0.8,0.68,0.95,0.74,0.73,0.81,0.82,1.02,0.67,0.4,0.89,0.82,0.53,0.84,0.78
vars-redux.csv,1.0,1.0,1.0,0.34,0.72,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,1.0,1.0,0.95,1.0
wxjs.csv,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,0.87,0.38,1.0,0.99,1.0,1.0,1.0,1.0
yale.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
