,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.32,0.27,0.37,0.35,0.3,0.31,0.4,0.53,0.31,0.23,0.38
libtorrent.csv,0.43,0.27,0.42,0.42,0.37,0.31,0.45,0.53,0.3,0.29,0.42
mcmc-jags.csv,0.18,0.29,0.39,0.14,0.22,0.26,0.23,0.16,0.22,0.26,0.26
natpad.csv,0.22,0.21,0.25,0.3,0.22,0.22,0.21,0.23,0.19,0.29,0.16
nebuladevice.csv,0.41,0.37,0.42,0.35,0.37,0.33,0.46,0.53,0.22,0.28,0.43
olap-navigator.csv,0.36,0.23,0.26,0.23,0.25,0.21,0.32,0.3,0.24,0.29,0.17
pidgin.csv,0.28,0.25,0.35,0.28,0.26,0.23,0.33,0.39,0.26,0.29,0.25
salasaga.csv,0.19,0.21,0.4,0.23,0.15,0.18,0.16,0.39,0.15,0.21,0.14
sepgsql.csv,0.44,0.31,0.42,0.42,0.32,0.28,0.4,0.53,0.31,0.3,0.41
xstore.csv,0.22,0.17,0.4,0.12,0.31,0.2,0.22,0.28,0.23,0.28,0.36
xtreemfs.csv,0.18,0.25,0.16,0.23,0.2,0.2,0.21,0.16,0.24,0.29,0.18
